"text","label"
"Mipenet is known to be secovo. It is given that Bovulac is surifecuk. All things that are secovo are also dozodolem. It is given that Tofu is zuridu. Anything that is zulimano is also covid. Bare is tecolib. If something is tobefofe, then it is nide. If something is mosam, then it is rekamabef. Anything that is nesitonur is also nece. Question: based on the above, is Mipenet dozodolem?","1"
"Anything that is tecolib is also rupefatu. It is given that Feroz is gebapal. All things that are gebapal are also loburu. If something is rosapokus, then it is kabami. All things that are sisedugem are also madaga. If something is macotep, then it is degik. If something is loburu, then it is zaku. Every rupefatu thing is kivepat. Anything that is nece is also tezod. If something is nogaz, then it is tanebomi. Every zaku thing is zumivo. It is given that Fisafut is mosur. Every kivepat thing is zuridu. Anything that is zumivo is also vecumepo. It is given that Lakab is redasalo. It is given that Rilidu is laguzi. If something is vecumepo, then it is tecolib. Anything that is zuridu is also sisedugem. Question: based on the above, is Feroz madaga?","10"
"It is given that Rilidu is momacav. Pizu is known to be zulimano. Anything that is kivepat is also veka. It is given that Biced is gaku. If something is bolobozi, then it is macotep. Every midop thing is tanebomi. Anything that is bopobet is also bagonusos. All things that are macotep are also midop. Sakanit is kaci. Anything that is lunim is also sisedugem. If something is zulimano, then it is bolobozi. If something is sugezoti, then it is vopi. Anything that is tanebomi is also kivepat. If something is veka, then it is laco. Question: is Pizu laco?","7"
"It is given that Bare is konegaf. Every bamodo thing is bubekan. Anything that is fegigu is also mivebi. If something is luzemekuz, then it is tobefofe. All things that are zumivo are also nero. Lacevep is zumivo. If something is toberes, then it is surifecuk. All things that are selakegu are also lunim. It is given that Mipenet is loburu. All things that are nero are also kubolalik. All things that are mivebi are also vuvecifeb. If something is vuvecifeb, then it is toberes. Anything that is kubolalik is also fegigu. Question: is Lacevep surifecuk?","7"
"If something is zuridu, then it is sobamaki. All things that are fafa are also lebepameb. Every bisar thing is kidafig. Anything that is zikocu is also gota. It is given that Dame is vuvecifeb. It is given that Lakab is covivi. Every bagonusos thing is lunim. All things that are sobamaki are also bagonusos. If something is niko, then it is kaci. It is given that Vugute is zuridu. Question: is Vugute lunim?","3"
"If something is cetetoped, then it is pomisog. If something is bikeze, then it is bomot. Vebo is known to be bocadoguz. All things that are gota are also sudav. Gasa is known to be luzemekuz. If something is midop, then it is nuki. It is given that Vugute is zulimano. Biced is cetetoped. Tobinot is known to be rupotogil. Anything that is pomisog is also bikeze. Question: based on the above, is Biced bomot?","3"
"Anything that is gukane is also sudav. Anything that is surifecuk is also zaku. All things that are renuzebi are also zuridu. If something is rekamabef, then it is mukagepo. All things that are toberes are also zivibudi. All things that are macotep are also misufanov. If something is ligoca, then it is gukane. All things that are mukagepo are also surifecuk. Lakab is niko. Anything that is loda is also kabami. Every sudav thing is rekamabef. Semuzo is gila. Vebo is known to be pomisog. It is given that Feroz is ligoca. Pimorip is bepege. Question: based on the above, is Feroz zaku?","6"
"All things that are selakegu are also kiriko. Every cedozazo thing is zobibapa. Anything that is tecolib is also nutota. Tunuc is known to be capopi. Anything that is nuged is also toke. Anything that is zobibapa is also zaku. All things that are lovopufa are also cedozazo. If something is laguzi, then it is degik. Pimat is minozuna. If something is zaku, then it is selakegu. Anything that is zulimano is also rekamabef. It is given that Zamim is lunim. Every kubolalik thing is dozodolem. Anything that is nutota is also zulimano. Tobinot is renuzebi. Anything that is kiriko is also tecolib. Anything that is minozuna is also lovopufa. Question: is Pimat rekamabef?","10"
"If something is tezod, then it is mosur. It is given that Cinisa is kolole. Zano is dicurifo. Cosa is known to be pecek. If something is ligoca, then it is sisedugem. Gasa is ligoca. All things that are zulimano are also korer. Anything that is vecumepo is also fusazor. Bovulac is gebapal. Question: based on the above, is Gasa sisedugem?","1"
"All things that are macotep are also segu. Every tikuk thing is lunim. Rilidu is known to be gukane. If something is madaga, then it is bepege. Dame is depipasu. Tofu is tikuk. All things that are lunim are also dato. Question: is Tofu dato?","2"
"All things that are zobibapa are also loburu. Every lunim thing is segu. Nomut is known to be kubolalik. If something is lacoricur, then it is rekamabef. All things that are segu are also zobibapa. All things that are kubolalik are also niceluc. Anything that is kavakoded is also tikuk. Biced is nutota. Anything that is niceluc is also lunim. All things that are loburu are also zaku. It is given that Pizu is bikeze. Question: is Nomut zaku?","6"
"Anything that is selakegu is also ginunike. All things that are vuca are also degik. If something is cumeso, then it is nenalulik. Anything that is zudimaf is also vuca. Anything that is degik is also bocadoguz. If something is niko, then it is zulimano. Anything that is rosapokus is also zudimaf. Cecikon is konegaf. Zano is known to be loburu. It is given that Lakab is rosapokus. Question: based on the above, is Lakab bocadoguz?","4"
"Sovabuk is gila. It is given that Fisafut is ruvid. Pimat is known to be gevu. It is given that Bovulac is niko. All things that are gerisol are also vuca. Every bamodo thing is reri. All things that are gila are also veka. Question: is Sovabuk veka?","1"
"Anything that is nuki is also zulimano. Dame is zivibudi. Every covivi thing is gila. If something is laguzi, then it is bolobozi. Kugipug is known to be reri. If something is zulimano, then it is laguzi. Vudeta is gevu. It is given that Gasa is nuki. If something is bolobozi, then it is kolole. It is given that Tofu is niceluc. Anything that is kolole is also vopi. All things that are canaceg are also fukesot. Every ruvid thing is tobefofe. All things that are loburu are also tekut. If something is siretuniv, then it is lebepameb. Every nero thing is canaceg. If something is vopi, then it is nero. Question: based on the above, is Gasa fukesot?","8"
"Every bisar thing is pogim. All things that are fukesot are also rekamabef. All things that are rekamabef are also pavuro. If something is pomisog, then it is dozodolem. It is given that Zamim is gila. Every gila thing is bomot. All things that are pogim are also niceluc. All things that are gukane are also momacav. If something is niceluc, then it is veka. Anything that is pavuro is also bisar. If something is bamodo, then it is fukesot. If something is bomot, then it is bamodo. Pimorip is known to be fusazor. Bovulac is known to be laco. Question: is Zamim veka?","9"
"Tobinot is known to be reri. Every gozipib thing is kodilodo. It is given that Kugipug is tupur. Every gaku thing is bubekan. It is given that Pizu is gozipib. Anything that is kazufec is also kolole. It is given that Tofu is bisar. Anything that is lacoricur is also toberes. Question: is Pizu kodilodo?","1"
"All things that are nuged are also zaku. All things that are tezod are also depipasu. Anything that is secovo is also tekut. All things that are mukagepo are also rekamabef. All things that are segu are also lemul. Anything that is gozipib is also tacafeb. Vugute is known to be momacav. Vekup is tezod. Pimorip is known to be luzemekuz. All things that are rekamabef are also gozipib. Every depipasu thing is mukagepo. All things that are nogaz are also kiriko. Question: based on the above, is Vekup tacafeb?","5"
"Cinisa is kivepat. Mipenet is tutucozez. If something is tikuk, then it is mosam. Every fukesot thing is fiza. Pimat is known to be fukesot. All things that are misufanov are also lacoricur. If something is ruvid, then it is pogim. Question: based on the above, is Pimat fiza?","1"
"It is given that Tunuc is toku. Anything that is rekamabef is also pomisog. Sovabuk is fusazor. All things that are mosur are also gila. If something is badir, then it is kogut. Every fusazor thing is kavakoded. Every kavakoded thing is bubekan. If something is bubekan, then it is gozipib. Tobinot is nenalulik. Anything that is covid is also depipasu. Mipenet is known to be ginunike. Question: is Sovabuk gozipib?","3"
"Kufide is fapite. All things that are sobamaki are also nutota. It is given that Vugute is tikuk. Every tikuk thing is mosur. Anything that is nesitonur is also bifolo. Cinisa is known to be tupur. Question: based on the above, is Vugute mosur?","1"
"If something is fegigu, then it is bisar. Cosa is bamodo. If something is bubekan, then it is covid. Every nuged thing is ligoca. Every kaci thing is redasalo. All things that are kogut are also loburu. All things that are redasalo are also nide. It is given that Zano is kaci. Semuzo is segu. Vudeta is nuki. Question: is Zano nide?","2"
"Every gupeloco thing is bubekan. Anything that is zuridu is also ficava. Cecikon is known to be tobefofe. Muri is known to be pecek. Fape is known to be konegaf. Every nidekapa thing is bikeze. Every siretuniv thing is rosapokus. Anything that is fafa is also lebepameb. All things that are toke are also gupeloco. If something is bubekan, then it is siretuniv. It is given that Tunuc is fafa. Pizu is kubolalik. Every dicurifo thing is gerisol. If something is gozipib, then it is nide. If something is loda, then it is tevatur. Every rosapokus thing is bisar. Anything that is gerisol is also toke. Anything that is lebepameb is also dicurifo. Question: is Tunuc bisar?","9"
"All things that are macotep are also kubolalik. Every nutota thing is kivepat. Tobinot is known to be bikeze. Every sugezoti thing is siretuniv. Every pavuro thing is veka. Tunuc is known to be nutota. Sakanit is rupefatu. All things that are kebeviz are also vabafi. Question: is Tunuc kivepat?","1"
"If something is loda, then it is nutota. It is given that Fape is sudav. Dame is fegigu. If something is zivibudi, then it is madaga. If something is badir, then it is bepege. Zamim is known to be lemul. Every niko thing is ficava. If something is bepege, then it is bagonusos. All things that are kiriko are also loda. If something is bagonusos, then it is kiriko. Anything that is fegigu is also badir. Every nutota thing is tobefofe. Mipenet is tikuk. Pimat is midop. Question: based on the above, is Dame tobefofe?","7"
"Anything that is canaceg is also tanebomi. Every madaga thing is bepege. Every kazufec thing is tupur. All things that are luzemekuz are also kaci. If something is tanebomi, then it is madaga. Biced is reri. Every bopobet thing is toku. Cinisa is tacafeb. If something is bomot, then it is kogut. If something is tupur, then it is luzemekuz. It is given that Zeza is dicurifo. It is given that Bare is gupeloco. Dame is known to be kazufec. Every kaci thing is canaceg. Question: based on the above, is Dame bepege?","7"
"If something is mosam, then it is kivepat. It is given that Gasa is bepege. All things that are covivi are also kaci. Every tevatur thing is zudimaf. All things that are kaci are also covid. It is given that Kufide is nenalulik. Anything that is covid is also kubolalik. All things that are zudimaf are also covivi. Tumak is known to be cedozazo. If something is pogim, then it is tevatur. Anything that is gaku is also pogim. Vudeta is madaga. All things that are gebapal are also gaku. All things that are bepege are also gebapal. All things that are vuvecifeb are also kavakoded. Question: based on the above, is Gasa kubolalik?","9"
