"text","label"
"Anything that is siretuniv is also zikocu. Tumak is known to be niko. Every secovo thing is toberes. Vugute is mivebi. Vudeta is known to be korer. Anything that is toberes is also nuged. Every nero thing is lidu. Anything that is bikeze is also nuki. Every tikuk thing is bagonusos. If something is bagonusos, then it is siretuniv. Every nuged thing is tikuk. Anything that is sudav is also fukesot. Every nuki thing is dicurifo. Zano is known to be kidafig. All things that are zikocu are also sudav. All things that are kidafig are also bikeze. All things that are dicurifo are also secovo. Every zapekam thing is luzemekuz. Question: based on the above, is Zano fukesot?","12"
"All things that are kacad are also pogim. All things that are kiriko are also dere. Kafasa is known to be gaku. All things that are pakotu are also nero. Anything that is fezomi is also kacad. Every zobibapa thing is loburu. All things that are pogim are also niko. All things that are rupotogil are also lutap. It is given that Cosa is zobibapa. Cinisa is known to be fukesot. Every niko thing is rupotogil. It is given that Pizu is kivepat. Biced is tupur. If something is fapite, then it is kalozuc. Every kalozuc thing is fezomi. Every loburu thing is fapite. Question: is Cosa lutap?","9"
"All things that are momacav are also zivibudi. Bare is cumeso. Every selakegu thing is tutucozez. Rilidu is known to be curosepuk. Tumak is mocanotin. Cinisa is known to be capopi. Anything that is misufanov is also luzemekuz. Anything that is lutap is also siretuniv. If something is luzemekuz, then it is selakegu. All things that are gupeloco are also mivicom. If something is mukagepo, then it is lutap. Anything that is kubolalik is also laguzi. If something is tutucozez, then it is mukagepo. Anything that is mivicom is also dicurifo. Vebo is known to be konegaf. Every dicurifo thing is misufanov. Anything that is konegaf is also gupeloco. Question: is Vebo siretuniv?","10"
"Anything that is bepege is also mivebi. All things that are loda are also bepege. If something is sobamaki, then it is loda. Every bezuri thing is gaku. Every fiza thing is tevatur. Anything that is renuzebi is also sobamaki. Anything that is kidafig is also fiza. Anything that is zusisi is also bopobet. If something is mosam, then it is laco. Anything that is mivebi is also kidafig. If something is laco, then it is renuzebi. If something is tevatur, then it is lovopufa. Vekup is talopi. It is given that Fisafut is mosam. Lakab is bamodo. Question: based on the above, is Fisafut lovopufa?","10"
"All things that are capopi are also pude. All things that are sugezoti are also dicurifo. It is given that Sovabuk is putiri. Bovulac is pozegapi. All things that are vigub are also ficava. All things that are redasalo are also gozipib. Kufide is tobefofe. Tumak is dizemubun. If something is pomisog, then it is tuvacug. Zamim is known to be tiki. Anything that is putiri is also redasalo. Question: is Sovabuk gozipib?","2"
"Every nutota thing is veka. Mipenet is bocadoguz. Anything that is vecumepo is also kaci. Every midop thing is gorepeli. All things that are kaci are also bezuri. Every kazufec thing is capopi. It is given that Cosa is mivicom. All things that are vabafi are also vonivaz. Anything that is lovopufa is also tacafeb. All things that are capopi are also kivepat. Anything that is gorepeli is also rupotogil. Every tekut thing is midop. Anything that is veka is also bomot. All things that are bomot are also vabafi. Zeza is bubekan. All things that are rupotogil are also kazufec. Every bubekan thing is nutota. All things that are putiri are also korer. It is given that Fisafut is segu. If something is vonivaz, then it is tekut. Every kivepat thing is vecumepo. Question: based on the above, is Zeza bezuri?","15"
"If something is tutucozez, then it is nenalulik. All things that are bopobet are also dere. Every loda thing is covivi. Muri is vaki. Every niko thing is tutucozez. It is given that Gasa is lebepameb. Pimorip is niko. If something is nero, then it is selakegu. If something is nenalulik, then it is rubi. It is given that Tunuc is bizako. Question: based on the above, is Pimorip rubi?","3"
"It is given that Cecikon is bopobet. All things that are ligoca are also kivepat. Biced is veka. All things that are bizako are also gozipib. Every tuvacug thing is decukep. Vugute is rokudeg. Every nogaz thing is tuvacug. If something is tanebomi, then it is momacav. If something is pomisog, then it is gupeloco. Anything that is zusisi is also curosepuk. It is given that Vudeta is mivebi. It is given that Bare is tekut. Every nuged thing is bizako. Anything that is kivepat is also nogaz. All things that are zidul are also dicurifo. Every rokudeg thing is nuged. If something is curosepuk, then it is gukane. Every decukep thing is zusisi. If something is gozipib, then it is vecumepo. All things that are vecumepo are also ligoca. Question: based on the above, is Vugute gukane?","12"
"All things that are dizemubun are also debi. Nomut is known to be zidul. All things that are dededebum are also kufud. If something is kidafig, then it is vonivaz. Anything that is talopi is also ruvid. It is given that Rilidu is vecumepo. All things that are debi are also korer. If something is vuvecifeb, then it is mosur. It is given that Sovabuk is nenalulik. All things that are korer are also kidafig. Bovulac is known to be gota. Anything that is nenalulik is also dizemubun. Anything that is zuridu is also rose. Every bacopi thing is sobamaki. All things that are reri are also talopi. All things that are kufud are also zozetonep. If something is kamobefif, then it is zuridu. If something is ruvid, then it is citubagep. All things that are zozetonep are also kamobefif. All things that are rose are also reri. Anything that is vonivaz is also dededebum. Question: is Sovabuk citubagep?","15"
"Anything that is fezomi is also kufud. All things that are lunim are also nero. Cosa is vonivaz. Every macotep thing is surifecuk. Anything that is segu is also dededebum. Every vonivaz thing is lunim. Dame is known to be zapekam. If something is niceluc, then it is mosam. Anything that is covid is also luzemekuz. Every mosam thing is macotep. If something is bacopi, then it is ditoru. If something is nero, then it is niceluc. Sakanit is nide. Question: is Cosa surifecuk?","6"
"Cosa is pogim. If something is bepege, then it is zofop. All things that are degik are also kavakoded. If something is nesitonur, then it is lutap. Every nuged thing is kazufec. Every kiriko thing is momacav. Every konegaf thing is pakotu. Every momacav thing is vabafi. If something is covivi, then it is bifolo. All things that are dere are also pecek. Every zofop thing is degik. If something is dededebum, then it is nuged. All things that are tiki are also konegaf. All things that are pogim are also bepege. Anything that is lutap is also tiki. Anything that is kazufec is also nesitonur. It is given that Cecikon is vuvecifeb. It is given that Sovabuk is zudimaf. If something is pakotu, then it is kiriko. All things that are kavakoded are also dededebum. Question: based on the above, is Cosa vabafi?","15"
"Every mapanukob thing is cetetoped. All things that are mukagepo are also bezuri. All things that are depipasu are also kidafig. Anything that is cetetoped is also niko. Vudeta is known to be korer. Tobinot is vonivaz. If something is niko, then it is tecolib. Bare is known to be lebepameb. Lacevep is veka. It is given that Tunuc is gozipib. If something is segu, then it is lemul. All things that are tupur are also mukagepo. Every picozol thing is ruvid. Anything that is bezuri is also picozol. If something is redasalo, then it is mapanukob. If something is vonivaz, then it is tikuk. Every volasopok thing is rubi. All things that are ruvid are also redasalo. Every tikuk thing is tupur. Question: based on the above, is Tobinot tecolib?","11"
"Anything that is tikuk is also renuzebi. Mucili is known to be surifecuk. All things that are renuzebi are also vabafi. If something is vabafi, then it is pogim. It is given that Dame is laco. Anything that is pude is also rupefatu. It is given that Tunuc is nenalulik. Anything that is rupefatu is also tikuk. Every zofop thing is nide. If something is nenalulik, then it is pude. If something is pecek, then it is kodilodo. Kafasa is mivebi. Question: is Tunuc pogim?","6"
"It is given that Cecikon is putiri. Anything that is sisedugem is also gerisol. If something is rubi, then it is lovopufa. Every cetetoped thing is pogim. Every bezuri thing is nide. If something is nidekapa, then it is tacafeb. Every nenalulik thing is nuki. All things that are lovopufa are also redasalo. Vekup is known to be reri. Anything that is rekamabef is also bikeze. If something is gerisol, then it is bezuri. All things that are pogim are also kazufec. If something is nide, then it is zapekam. Bucofis is sisedugem. All things that are zapekam are also zidul. Anything that is redasalo is also pomisog. Lacevep is pozegapi. Every pomisog thing is zaku. All things that are capopi are also rubi. Every zidul thing is capopi. Anything that is zaku is also cetetoped. Anything that is rosapokus is also bizako. Question: is Bucofis kazufec?","14"
"All things that are gota are also kaci. Anything that is kidafig is also zapekam. If something is lacoricur, then it is secovo. It is given that Semuzo is bikeze. If something is fafa, then it is segu. Mipenet is gota. Kugipug is zuridu. Question: is Mipenet kaci?","1"
"All things that are dere are also laco. Every vopi thing is lebotil. It is given that Bovulac is vuca. Every marato thing is kamobefif. Every bomot thing is sisedugem. Anything that is sisedugem is also vopi. It is given that Fisafut is fafa. Every zikocu thing is gota. If something is fafa, then it is dere. It is given that Biced is bubekan. All things that are lebotil are also marato. If something is madaga, then it is kabami. All things that are nutota are also lutap. All things that are kamobefif are also saretila. If something is laco, then it is bomot. Bucofis is zobibapa. Every nuki thing is nenalulik. Muri is mapanukob. Question: based on the above, is Fisafut saretila?","9"
"All things that are capopi are also degik. All things that are vaki are also zofop. Anything that is bora is also talopi. All things that are niceluc are also covivi. Every gorepeli thing is sudav. Every vecumepo thing is binobogo. All things that are marato are also toke. All things that are dicurifo are also dozodolem. Every degik thing is niceluc. Pimorip is known to be segu. Semuzo is capopi. Every kidafig thing is tuvacug. All things that are bisar are also kaci. It is given that Tunuc is volasopok. Anything that is bagonusos is also nidekapa. If something is kaci, then it is gorepeli. All things that are sudav are also vaki. If something is binobogo, then it is bisar. Anything that is covivi is also bora. Anything that is zapekam is also vecumepo. Anything that is zofop is also kidafig. If something is talopi, then it is zapekam. It is given that Cinisa is kogut. Question: based on the above, is Semuzo tuvacug?","16"
"Every zudimaf thing is reri. It is given that Pimorip is misufanov. It is given that Gasa is macotep. If something is kacad, then it is lebepameb. All things that are reri are also kaci. If something is kubolalik, then it is covid. All things that are talopi are also laco. If something is bepege, then it is midop. If something is midop, then it is dicurifo. Anything that is rupefatu is also gebapal. If something is kaci, then it is lemul. If something is lebepameb, then it is bepege. Mucili is known to be korer. Anything that is macotep is also lutap. Anything that is lemul is also kacad. Anything that is lutap is also zudimaf. All things that are pecek are also debi. Question: based on the above, is Gasa dicurifo?","10"
"All things that are pude are also dezo. Tobinot is known to be badir. All things that are renuzebi are also lebepameb. Mucili is bamodo. Zeza is known to be renuzebi. If something is zikocu, then it is depipasu. Biced is reri. Every kidafig thing is toke. All things that are momacav are also zikocu. Anything that is lebepameb is also tanebomi. If something is kazufec, then it is kidafig. If something is pecek, then it is segu. Every bagonusos thing is gebapal. Kafasa is rose. Anything that is tanebomi is also momacav. Anything that is picozol is also kazufec. All things that are toke are also surifecuk. Every depipasu thing is picozol. Question: is Zeza surifecuk?","10"
"Feroz is bacopi. Bovulac is rupotogil. It is given that Kugipug is lutap. Vugute is zaku. All things that are bomot are also vabafi. Every pakotu thing is mocanotin. Anything that is ligoca is also kivepat. If something is bacopi, then it is mivebi. Question: is Feroz mivebi?","1"
"All things that are ficava are also dicurifo. Cosa is known to be fukesot. It is given that Fape is mosur. All things that are bagonusos are also dededebum. Bucofis is sudav. All things that are fiza are also ficava. Every tecolib thing is korer. Anything that is dededebum is also fiza. Every korer thing is bagonusos. It is given that Gasa is tecolib. All things that are nuged are also bomot. Every kabami thing is saretila. Tunuc is zofop. Question: is Gasa dicurifo?","6"
"Every mivebi thing is nero. Gasa is tezod. All things that are pogim are also ligoca. It is given that Tobinot is bezuri. Every zobibapa thing is macotep. Anything that is lacoricur is also dozodolem. Zeza is tacafeb. If something is fukesot, then it is konegaf. Anything that is zaku is also zudimaf. If something is konegaf, then it is zobibapa. All things that are bezuri are also zaku. If something is bolobozi, then it is pogim. Anything that is zudimaf is also degik. Anything that is gupeloco is also bolobozi. All things that are zidul are also fukesot. If something is kodilodo, then it is vonivaz. Anything that is bimo is also zidul. Anything that is degik is also bimo. If something is macotep, then it is gupeloco. Question: is Tobinot ligoca?","13"
"Semuzo is known to be nuged. Anything that is lidu is also nide. If something is madaga, then it is tiki. If something is covid, then it is pomisog. All things that are surifecuk are also picozol. If something is gerisol, then it is surifecuk. Vekup is gerisol. Reboro is known to be nero. Question: based on the above, is Vekup picozol?","2"
"If something is ligoca, then it is dozodolem. Dame is luzemekuz. If something is rubi, then it is sobamaki. If something is tupur, then it is fafa. Every binat thing is zofop. Vebo is kacad. If something is nogaz, then it is dicurifo. If something is rupotogil, then it is binat. All things that are zofop are also nuki. Every niceluc thing is pomisog. Every ranadol thing is niceluc. If something is nuki, then it is mocanotin. Anything that is dicurifo is also gebapal. Tobinot is known to be mivebi. All things that are pomisog are also rupotogil. All things that are mocanotin are also nogaz. If something is mivicom, then it is tupur. If something is gebapal, then it is tasubuso. Every mivebi thing is ranadol. If something is tasubuso, then it is mivicom. Question: is Tobinot fafa?","15"
"Every fusazor thing is gupeloco. Zano is known to be zofop. Every mivicom thing is mocanotin. Anything that is citubagep is also mosur. Every vikacesa thing is mivebi. If something is dozodolem, then it is mivicom. It is given that Gasa is kazufec. It is given that Pimorip is zapekam. Every mocanotin thing is rosapokus. Anything that is kogut is also nuki. Anything that is rosapokus is also citubagep. If something is rokudeg, then it is pecek. It is given that Muri is dozodolem. Question: is Muri mosur?","5"
"It is given that Vugute is lovopufa. Anything that is gozipib is also rupefatu. Cecikon is fapite. Zamim is vabafi. All things that are bimo are also bocadoguz. Anything that is mosam is also zikocu. Every bamodo thing is ficava. All things that are ficava are also renuzebi. Every vabafi thing is mosam. Every zikocu thing is bamodo. Question: based on the above, is Zamim renuzebi?","5"
"Mucili is toberes. It is given that Mipenet is dezo. It is given that Zano is luzemekuz. Every gevu thing is nutota. Anything that is luzemekuz is also rokudeg. Every rokudeg thing is ditoru. Anything that is fope is also kogut. All things that are kubolalik are also secovo. Anything that is ditoru is also depipasu. Sovabuk is zidul. Question: is Zano depipasu?","3"
"Bovulac is known to be fukesot. Zamim is dere. Every covid thing is saretila. Anything that is korer is also mocanotin. If something is bolobozi, then it is dato. Zano is zofop. Every fukesot thing is bubekan. Anything that is bubekan is also vaki. Every fezomi thing is vonivaz. Question: based on the above, is Bovulac vaki?","2"
"Tobinot is kebeviz. Fape is gaku. It is given that Fisafut is nuged. Biced is known to be depipasu. Every vigub thing is zidul. If something is zumivo, then it is tanebomi. All things that are rupotogil are also degik. Anything that is degik is also gota. It is given that Zano is nero. Every gota thing is lidu. Anything that is kebeviz is also rupotogil. Question: is Tobinot lidu?","4"
"Every rupefatu thing is kidafig. Every zusisi thing is fope. It is given that Vekup is dere. Anything that is lacoricur is also luzemekuz. Biced is zusisi. It is given that Muri is mukagepo. If something is momacav, then it is kubolalik. If something is fope, then it is momacav. Kufide is known to be dozodolem. It is given that Semuzo is siretuniv. Question: based on the above, is Biced kubolalik?","3"
"All things that are tasubuso are also zudimaf. Every tobefofe thing is zumivo. Zeza is dozodolem. If something is zumivo, then it is kiriko. If something is gupeloco, then it is rupotogil. Anything that is rupotogil is also tobefofe. It is given that Vudeta is minozuna. It is given that Lacevep is tikuk. If something is rubi, then it is marato. Reboro is gupeloco. Question: is Reboro kiriko?","4"
"All things that are dozodolem are also saretila. Anything that is gozipib is also lebotil. If something is lebotil, then it is nece. All things that are mukagepo are also zuridu. Every bamodo thing is bubekan. It is given that Dame is gebapal. Biced is known to be momacav. Anything that is gebapal is also korer. Every tanebomi thing is tupur. Anything that is pomisog is also zofop. Mucili is midop. Anything that is sisedugem is also pomisog. Anything that is bopobet is also tanebomi. Every zuridu thing is lovopufa. All things that are zobibapa are also pecek. All things that are tupur are also nutota. Every nece thing is mukagepo. Rilidu is known to be toku. If something is tiki, then it is mosur. Anything that is korer is also tiki. It is given that Fape is lutap. If something is mosur, then it is sisedugem. Anything that is lovopufa is also bopobet. If something is zofop, then it is gozipib. Question: is Dame nutota?","16"
"Anything that is dozodolem is also rekamabef. Tunuc is selakegu. Every rekamabef thing is toke. All things that are selakegu are also dozodolem. Every rubi thing is bolobozi. If something is pecek, then it is zulimano. Anything that is nogaz is also gupeloco. Every toke thing is nogaz. Cosa is known to be gota. Anything that is niceluc is also bezuri. Anything that is vabafi is also pozegapi. Kafasa is marato. Question: is Tunuc gupeloco?","5"
"All things that are degik are also reri. Anything that is renuzebi is also binobogo. Every nenalulik thing is zikocu. If something is mosur, then it is loda. Anything that is gupeloco is also kidafig. Mucili is dicurifo. If something is zikocu, then it is laguzi. If something is kiriko, then it is vikacesa. Anything that is vikacesa is also pakotu. Every loburu thing is kalozuc. All things that are loda are also nenalulik. Vudeta is known to be bubekan. If something is reri, then it is mosur. All things that are vopi are also fiza. Anything that is laguzi is also kodilodo. It is given that Sakanit is kiriko. Anything that is tezod is also loburu. If something is pakotu, then it is degik. All things that are kodilodo are also tezod. If something is kolole, then it is laco. Anything that is kalozuc is also kolole. Question: is Sakanit laco?","15"
