"text","label"
"It is given that Vebo is zaku. Every veka thing is zulimano. If something is lovopufa, then it is fiza. Zeza is known to be ligoca. Every sobamaki thing is rekamabef. It is given that Fape is kabami. Anything that is mivicom is also kazufec. If something is degik, then it is selakegu. Mipenet is known to be mivicom. It is given that Gasa is mosam. Question: is Mipenet kazufec?","1"
"Anything that is tobefofe is also zudimaf. Kugipug is known to be rupotogil. If something is tupur, then it is madaga. All things that are surifecuk are also zuridu. Gasa is known to be vuvecifeb. All things that are misufanov are also zumivo. If something is rupotogil, then it is tupur. Bucofis is known to be mivebi. Anything that is madaga is also renuzebi. Question: is Kugipug renuzebi?","3"
"If something is kubolalik, then it is sisedugem. If something is saretila, then it is laguzi. Anything that is mosur is also renuzebi. Anything that is pavuro is also fusazor. Every bomot thing is kubolalik. Rilidu is nogaz. It is given that Sovabuk is tanebomi. All things that are zudimaf are also tutucozez. It is given that Bovulac is pavuro. Cosa is known to be badir. Every fusazor thing is bomot. Question: is Bovulac sisedugem?","4"
"It is given that Lakab is gota. If something is vecumepo, then it is luzemekuz. If something is mukagepo, then it is kabami. All things that are fapite are also vuca. Anything that is redasalo is also lebepameb. Kafasa is zumivo. If something is gota, then it is sisedugem. Anything that is secovo is also fapite. Anything that is sisedugem is also secovo. Pimorip is known to be kiriko. Question: based on the above, is Lakab vuca?","4"
"Lakab is fafa. Every vabafi thing is bolobozi. Mipenet is bikeze. Anything that is vopi is also tupur. It is given that Sovabuk is mivicom. Anything that is bolobozi is also ginunike. Zamim is known to be vopi. If something is gevu, then it is redasalo. Every tupur thing is vabafi. Tofu is known to be cedozazo. Anything that is tekut is also pecek. Anything that is depipasu is also mosur. Question: based on the above, is Zamim ginunike?","4"
"It is given that Nomut is secovo. If something is bepege, then it is capopi. All things that are nogaz are also zikocu. Anything that is capopi is also minozuna. Every renuzebi thing is bepege. Zeza is known to be luzemekuz. Kafasa is known to be renuzebi. Cosa is mosur. If something is gota, then it is konegaf. Tumak is reri. Question: is Kafasa minozuna?","3"
"Dame is known to be fegigu. If something is kebeviz, then it is gebapal. Every gota thing is veka. All things that are zuridu are also ficava. Kafasa is niceluc. Anything that is dato is also laguzi. Every pecek thing is renuzebi. Biced is mosam. Tobinot is known to be tupur. Cecikon is known to be zuridu. Question: based on the above, is Cecikon ficava?","1"
"Mipenet is nuged. All things that are lebepameb are also fiza. All things that are fiza are also depipasu. All things that are sobamaki are also tupur. Vugute is known to be pomisog. All things that are selakegu are also kivepat. All things that are sisedugem are also laguzi. Every tobefofe thing is rokudeg. Vudeta is known to be lebepameb. Tobinot is known to be niko. It is given that Semuzo is cedozazo. Question: is Vudeta depipasu?","2"
"Every capopi thing is niko. It is given that Pimorip is dato. Every kebeviz thing is lebepameb. It is given that Sakanit is loburu. Muri is gukane. Anything that is momacav is also selakegu. Rilidu is known to be lunim. Mucili is known to be capopi. Question: is Mucili niko?","1"
"It is given that Kugipug is renuzebi. Pizu is known to be gerisol. Anything that is niceluc is also kolole. Every gerisol thing is lunim. Every lunim thing is fapite. It is given that Kafasa is kabami. All things that are pomisog are also citubagep. Every fapite thing is pomisog. If something is bifolo, then it is kebeviz. Question: based on the above, is Pizu citubagep?","4"
"Every mapanukob thing is gaku. Mucili is pomisog. It is given that Kafasa is vabafi. Anything that is capopi is also fegigu. It is given that Fisafut is bomot. It is given that Cosa is nidekapa. Tofu is zulimano. If something is pomisog, then it is kaci. All things that are tanebomi are also dicurifo. Question: is Mucili kaci?","1"
"If something is nece, then it is gila. Every bopobet thing is nidekapa. Pimat is mosur. Every kebeviz thing is nece. Every capopi thing is kivepat. Cecikon is known to be curosepuk. Lakab is known to be veka. If something is tevatur, then it is tekut. Every nidekapa thing is sobamaki. All things that are tacafeb are also kebeviz. Every fiza thing is dicurifo. Anything that is veka is also bopobet. If something is sobamaki, then it is tacafeb. Sakanit is laguzi. Question: based on the above, is Lakab gila?","7"
"Anything that is loburu is also pomisog. Sovabuk is known to be ligoca. Every mivicom thing is reri. It is given that Pimorip is mivebi. Every bopobet thing is loburu. Tobinot is kidafig. It is given that Vebo is bopobet. If something is gevu, then it is siretuniv. Question: is Vebo pomisog?","2"
"It is given that Cinisa is ginunike. All things that are fegigu are also toke. Pizu is zaku. Anything that is kodilodo is also kubolalik. It is given that Bare is bamodo. Muri is known to be zulimano. If something is ligoca, then it is niceluc. All things that are kaci are also luzemekuz. All things that are rokudeg are also canaceg. Kufide is kodilodo. Question: is Kufide kubolalik?","1"
"Every mosam thing is dozodolem. All things that are minozuna are also kivepat. It is given that Pimorip is lebepameb. It is given that Tofu is redasalo. Anything that is redasalo is also gevu. Every mivicom thing is rekamabef. Every rokudeg thing is pomisog. Every nenalulik thing is fiza. Every lacoricur thing is minozuna. Rilidu is known to be vopi. Anything that is gevu is also lacoricur. Question: based on the above, is Tofu kivepat?","4"
"Mucili is niko. Pimorip is known to be zikocu. It is given that Kufide is fusazor. If something is gila, then it is gebapal. Every tikuk thing is degik. All things that are sudav are also kidafig. Tobinot is known to be pavuro. Reboro is known to be tikuk. Every gota thing is nogaz. Every degik thing is sudav. All things that are gupeloco are also cetetoped. Question: is Reboro kidafig?","3"
"If something is niko, then it is depipasu. If something is degik, then it is toberes. Every veka thing is niko. Pimat is nuki. If something is ruvid, then it is tutucozez. If something is depipasu, then it is zivibudi. It is given that Fape is bifolo. It is given that Dame is mukagepo. All things that are bifolo are also veka. It is given that Mucili is gukane. Question: is Fape zivibudi?","4"
"If something is zumivo, then it is kavakoded. It is given that Zeza is minozuna. It is given that Tumak is cetetoped. All things that are mapanukob are also fusazor. Anything that is rekamabef is also kabami. Pimorip is lebepameb. Vudeta is segu. Semuzo is nuged. All things that are lebepameb are also zumivo. All things that are gupeloco are also zudimaf. Question: based on the above, is Pimorip kavakoded?","2"
"All things that are zulimano are also tupur. If something is fiza, then it is gota. It is given that Nomut is rupefatu. All things that are gozipib are also kazufec. Kafasa is known to be vecumepo. Zano is known to be gozipib. Question: based on the above, is Zano kazufec?","1"
"If something is vopi, then it is lunim. It is given that Lakab is nogaz. Vudeta is konegaf. Anything that is gukane is also bimo. Biced is known to be kavakoded. Every kabami thing is nuki. It is given that Bovulac is bocadoguz. Feroz is known to be renuzebi. Every nogaz thing is gukane. Question: based on the above, is Lakab bimo?","2"
"Nomut is known to be citubagep. It is given that Cosa is mapanukob. Tunuc is known to be dato. If something is gupeloco, then it is kivepat. Anything that is bopobet is also covivi. All things that are cedozazo are also bopobet. Every toku thing is vuca. If something is covivi, then it is sobamaki. Every dato thing is cedozazo. It is given that Zano is rupefatu. Question: based on the above, is Tunuc sobamaki?","4"
"Anything that is fukesot is also minozuna. All things that are fapite are also kodilodo. Anything that is nece is also secovo. Anything that is saretila is also tezod. All things that are bubekan are also zulimano. Every tezod thing is nece. Every kaci thing is saretila. If something is depipasu, then it is kaci. Pimorip is momacav. It is given that Lacevep is nero. Sovabuk is depipasu. If something is kodilodo, then it is bamodo. All things that are bamodo are also ficava. If something is secovo, then it is fapite. It is given that Feroz is tevatur. It is given that Vudeta is degik. If something is tecolib, then it is dato. If something is pavuro, then it is mivebi. Question: based on the above, is Sovabuk ficava?","9"
"Every ficava thing is loda. If something is bubekan, then it is kiriko. Anything that is kiriko is also vuca. It is given that Semuzo is ruvid. Anything that is kivepat is also sisedugem. Vugute is ginunike. If something is badir, then it is bubekan. Zamim is badir. Question: based on the above, is Zamim vuca?","3"
"Mucili is known to be nesitonur. It is given that Vekup is badir. Anything that is badir is also bubekan. If something is nero, then it is kolole. Anything that is bepege is also pomisog. Tobinot is mivicom. Question: based on the above, is Vekup bubekan?","1"
"Every bikeze thing is gupeloco. If something is gukane, then it is gevu. If something is konegaf, then it is tutucozez. Anything that is rosapokus is also covid. If something is tutucozez, then it is bimo. All things that are sisedugem are also tanebomi. Fape is known to be konegaf. Zano is known to be citubagep. It is given that Bovulac is sobamaki. Question: based on the above, is Fape bimo?","2"
"Bovulac is nenalulik. All things that are zulimano are also nutota. Tumak is known to be mosur. All things that are mosur are also saretila. It is given that Rilidu is kazufec. Anything that is pavuro is also niceluc. It is given that Muri is kabami. Question: is Tumak saretila?","1"
"Tumak is known to be tezod. All things that are sisedugem are also kabami. Lacevep is known to be minozuna. All things that are sugezoti are also rupotogil. Gasa is known to be zumivo. All things that are zumivo are also nuki. Zamim is nutota. Question: based on the above, is Gasa nuki?","1"
"Anything that is gupeloco is also fukesot. It is given that Tobinot is kodilodo. Bucofis is laguzi. All things that are lemul are also fiza. Muri is kazufec. It is given that Sovabuk is midop. Every laguzi thing is lemul. Every fiza thing is mivicom. Anything that is zaku is also nenalulik. Tumak is bomot. Question: based on the above, is Bucofis mivicom?","3"
"If something is ginunike, then it is zikocu. Every gota thing is rokudeg. All things that are mosam are also fapite. It is given that Sovabuk is nenalulik. Cosa is known to be bamodo. All things that are lunim are also sisedugem. It is given that Kufide is rupefatu. Every sisedugem thing is tekut. Fape is known to be lunim. All things that are tekut are also gila. Question: based on the above, is Fape gila?","3"
"It is given that Sovabuk is mukagepo. Vudeta is tecolib. Every bolobozi thing is sobamaki. If something is kodilodo, then it is kazufec. If something is konegaf, then it is sisedugem. All things that are kazufec are also ruvid. Cecikon is known to be tevatur. It is given that Cinisa is kodilodo. Every fukesot thing is macotep. Lacevep is known to be rekamabef. Question: is Cinisa ruvid?","2"
"Zeza is known to be bimo. Anything that is sugezoti is also vuvecifeb. All things that are nece are also dato. If something is vabafi, then it is gukane. Tofu is known to be vabafi. If something is depipasu, then it is veka. Tumak is segu. Anything that is zulimano is also toke. Rilidu is known to be bikeze. Question: based on the above, is Tofu gukane?","1"
"If something is vuvecifeb, then it is cumeso. If something is gebapal, then it is bopobet. If something is ligoca, then it is nero. Anything that is ruvid is also vuvecifeb. Gasa is known to be kolole. If something is nero, then it is ruvid. Mucili is kodilodo. If something is cumeso, then it is tikuk. All things that are tecolib are also dato. It is given that Vugute is ligoca. If something is ginunike, then it is konegaf. Lacevep is bubekan. Question: based on the above, is Vugute tikuk?","5"
"Every nece thing is gevu. If something is renuzebi, then it is tezod. Vebo is fegigu. Every cedozazo thing is zivibudi. All things that are bisar are also nece. If something is kaci, then it is degik. Cecikon is bisar. All things that are gevu are also kavakoded. It is given that Vekup is dozodolem. Sakanit is toku. All things that are midop are also bolobozi. If something is curosepuk, then it is tikuk. Every degik thing is selakegu. If something is kavakoded, then it is kaci. Question: is Cecikon selakegu?","6"
"All things that are fafa are also kabami. Zeza is known to be ligoca. It is given that Kufide is konegaf. Nomut is known to be pecek. Pizu is known to be bolobozi. Zamim is known to be mosam. Every tacafeb thing is segu. Anything that is sudav is also rokudeg. Anything that is bolobozi is also toberes. Question: is Pizu toberes?","1"
"All things that are bepege are also vopi. It is given that Rilidu is bagonusos. If something is fusazor, then it is fegigu. All things that are nece are also bubekan. Cosa is redasalo. Biced is known to be gota. Vudeta is bepege. It is given that Vekup is niko. Anything that is vopi is also nece. Anything that is korer is also loda. Question: based on the above, is Vudeta bubekan?","3"
