"text","label"
"Anything that is lovopufa is also gukane. Every bamodo thing is kabami. It is given that Muri is depipasu. Every segu thing is mivebi. All things that are tanebomi are also kivepat. If something is vecumepo, then it is kidafig. All things that are vabafi are also covivi. Vugute is pavuro. If something is kebeviz, then it is lovopufa. If something is kogut, then it is loburu. Bare is known to be kiriko. Every covivi thing is kogut. It is given that Biced is gebapal. If something is sudav, then it is vabafi. Tofu is ginunike. Every momacav thing is tecolib. Every pecek thing is tikuk. Every kazufec thing is momacav. Semuzo is fusazor. If something is gukane, then it is madaga. If something is loburu, then it is kebeviz. Every gebapal thing is sudav. All things that are madaga are also kazufec. Every rupotogil thing is nide. Dame is known to be rupefatu. Lakab is known to be minozuna. Anything that is tevatur is also dozodolem. It is given that Rilidu is niko. Question: based on the above, is Biced tecolib?","12"
"It is given that Tobinot is reri. Every fafa thing is sudav. If something is cedozazo, then it is tacafeb. Anything that is momacav is also tobefofe. Every nutota thing is degik. Anything that is bagonusos is also mosam. Lacevep is bikeze. Every pomisog thing is vuca. It is given that Lakab is fukesot. Every capopi thing is kavakoded. Anything that is nesitonur is also gozipib. Anything that is gozipib is also bamodo. All things that are gebapal are also rekamabef. Anything that is nidekapa is also nero. Reboro is known to be konegaf. All things that are nogaz are also fapite. Anything that is tobefofe is also gupeloco. It is given that Bovulac is momacav. All things that are gupeloco are also nesitonur. Gasa is mivebi. All things that are bamodo are also bagonusos. Every bolobozi thing is gukane. If something is mosam, then it is gebapal. Anything that is rekamabef is also bopobet. Every bopobet thing is bolobozi. Pimat is sobamaki. All things that are kiriko are also kivepat. Question: is Bovulac gukane?","12"
"Every capopi thing is bikeze. Vudeta is covivi. All things that are tacafeb are also fegigu. Every minozuna thing is rupefatu. Pimat is known to be tezod. Every zulimano thing is nece. It is given that Lacevep is secovo. Every vuca thing is zudimaf. Mucili is known to be tupur. Anything that is covivi is also lebepameb. All things that are kidafig are also redasalo. Zamim is tevatur. Every rupefatu thing is canaceg. Tunuc is known to be zumivo. If something is gukane, then it is gupeloco. Every bubekan thing is bopobet. All things that are fegigu are also pogim. It is given that Vugute is saretila. Biced is kodilodo. All things that are gota are also mosur. If something is depipasu, then it is tacafeb. Anything that is pecek is also siretuniv. Anything that is kubolalik is also rosapokus. Anything that is lebepameb is also laco. Anything that is laco is also minozuna. It is given that Muri is korer. It is given that Sakanit is citubagep. All things that are canaceg are also depipasu. If something is mukagepo, then it is curosepuk. Tumak is known to be fusazor. Question: is Vudeta pogim?","9"
"Anything that is kidafig is also lovopufa. Reboro is known to be toku. Bovulac is known to be dicurifo. Rilidu is known to be zulimano. Dame is known to be covivi. If something is vecumepo, then it is rupefatu. If something is dozodolem, then it is kodilodo. If something is sobamaki, then it is kiriko. Biced is known to be korer. If something is fapite, then it is tacafeb. Anything that is gupeloco is also zumivo. Tofu is known to be loda. Every mivebi thing is laguzi. Cecikon is konegaf. Kafasa is kolole. Fisafut is known to be siretuniv. Pizu is rosapokus. Every nide thing is kaci. Every toku thing is gupeloco. It is given that Tunuc is nero. All things that are zumivo are also niceluc. Question: based on the above, is Reboro niceluc?","3"
"Anything that is gaku is also mapanukob. All things that are rekamabef are also nide. It is given that Nomut is saretila. Lacevep is known to be gerisol. All things that are bomot are also redasalo. Bovulac is known to be gota. If something is loda, then it is sudav. If something is vabafi, then it is kaci. If something is mapanukob, then it is gevu. Anything that is nide is also surifecuk. Anything that is gevu is also rekamabef. Every zumivo thing is bifolo. It is given that Reboro is tobefofe. It is given that Tumak is fafa. It is given that Muri is gaku. All things that are loburu are also nuged. Vebo is kiriko. If something is madaga, then it is ligoca. Anything that is pogim is also lemul. Question: based on the above, is Muri surifecuk?","5"
"If something is gila, then it is nuged. Vudeta is sudav. Cinisa is covivi. Every zivibudi thing is segu. If something is lacoricur, then it is kabami. Pizu is known to be dato. If something is siretuniv, then it is veka. Anything that is segu is also kodilodo. It is given that Kufide is siretuniv. Every veka thing is zulimano. Dame is known to be ginunike. All things that are niko are also saretila. Every korer thing is konegaf. Mucili is known to be reri. It is given that Cecikon is kebeviz. Every cetetoped thing is lunim. Every zulimano thing is kiriko. Every kiriko thing is zivibudi. If something is dozodolem, then it is lemul. Anything that is kodilodo is also bomot. Question: is Kufide bomot?","7"
"Kufide is vopi. If something is nidekapa, then it is fapite. All things that are covivi are also nutota. All things that are kabami are also tikuk. Anything that is zaku is also kazufec. Kugipug is known to be tacafeb. Every gevu thing is vabafi. Bucofis is covid. Mucili is known to be rokudeg. Anything that is degik is also nidekapa. Rilidu is kabami. If something is fiza, then it is mukagepo. It is given that Reboro is gaku. All things that are ginunike are also nece. Every bimo thing is degik. If something is lacoricur, then it is madaga. Every zumivo thing is tekut. Fisafut is known to be curosepuk. Every tikuk thing is bimo. Every toberes thing is mivicom. Feroz is known to be vuvecifeb. Sovabuk is segu. Question: is Rilidu fapite?","5"
"Pimorip is known to be kazufec. It is given that Kugipug is nutota. All things that are mukagepo are also gebapal. If something is kodilodo, then it is bisar. If something is zaku, then it is tupur. Reboro is known to be tikuk. Zamim is zuridu. All things that are fafa are also tacafeb. Anything that is zulimano is also depipasu. If something is depipasu, then it is citubagep. If something is tacafeb, then it is minozuna. Every nutota thing is zaku. Anything that is minozuna is also kodilodo. Every tupur thing is gevu. Anything that is pogim is also ruvid. Biced is misufanov. Anything that is tecolib is also ficava. Anything that is renuzebi is also macotep. Every citubagep thing is fafa. Lakab is known to be nidekapa. Anything that is gevu is also zulimano. All things that are zobibapa are also cumeso. Every rupotogil thing is mivebi. If something is surifecuk, then it is kidafig. All things that are niceluc are also lunim. Mipenet is known to be lovopufa. Gasa is known to be dicurifo. Question: is Kugipug bisar?","11"
"All things that are gevu are also citubagep. All things that are fegigu are also zuridu. Tofu is known to be nuki. If something is nidekapa, then it is lunim. Cecikon is ficava. Every sudav thing is nidekapa. It is given that Kugipug is misufanov. Vudeta is known to be dicurifo. Lacevep is known to be gupeloco. If something is tekut, then it is gozipib. Kufide is known to be secovo. Sakanit is known to be gerisol. If something is lebepameb, then it is fukesot. If something is zumivo, then it is momacav. It is given that Lakab is fafa. All things that are nogaz are also lebepameb. Anything that is bubekan is also konegaf. Anything that is zaku is also cumeso. Anything that is minozuna is also fapite. Bovulac is tupur. Anything that is fukesot is also fegigu. Anything that is lunim is also nogaz. Tunuc is niko. It is given that Muri is macotep. Every niko thing is sudav. Question: is Tunuc zuridu?","8"
"It is given that Rilidu is gaku. Cinisa is rokudeg. Anything that is bagonusos is also gevu. Every tikuk thing is vabafi. If something is citubagep, then it is toku. Fisafut is bepege. Feroz is zikocu. Reboro is known to be gerisol. All things that are covid are also bimo. It is given that Bucofis is tekut. Vudeta is kebeviz. All things that are curosepuk are also bifolo. All things that are mosam are also lunim. Anything that is gevu is also vuvecifeb. Anything that is nuged is also misufanov. It is given that Vebo is loda. If something is nutota, then it is nogaz. Every tekut thing is bagonusos. Every ginunike thing is tilafas. Anything that is macotep is also badir. Cosa is known to be ruvid. Question: based on the above, is Bucofis vuvecifeb?","3"
"Anything that is pecek is also redasalo. If something is gerisol, then it is reri. Every rokudeg thing is toberes. Rilidu is tacafeb. Every bocadoguz thing is bikeze. Every korer thing is pogim. Pimat is known to be renuzebi. It is given that Bare is fusazor. Every kaci thing is bolobozi. Every mosam thing is siretuniv. Every nogaz thing is sudav. Every toberes thing is mivicom. Anything that is nutota is also gerisol. Vebo is saretila. Anything that is segu is also lebepameb. Reboro is known to be zulimano. If something is reri, then it is tikuk. Vudeta is kogut. If something is selakegu, then it is nutota. All things that are macotep are also kiriko. Every saretila thing is selakegu. All things that are tikuk are also rokudeg. Bovulac is bopobet. Anything that is tecolib is also ginunike. Question: is Vebo mivicom?","8"
"All things that are gevu are also nesitonur. Bucofis is known to be bamodo. If something is sudav, then it is renuzebi. Anything that is fukesot is also cumeso. If something is surifecuk, then it is lebepameb. All things that are madaga are also zulimano. Every dozodolem thing is tevatur. If something is vabafi, then it is ruvid. Mipenet is known to be tupur. Reboro is tecolib. Anything that is gebapal is also bimo. Zeza is known to be minozuna. Vebo is vuvecifeb. It is given that Pimat is nuki. If something is nide, then it is pogim. Every kubolalik thing is bubekan. Anything that is bimo is also sisedugem. Sakanit is known to be lemul. It is given that Kugipug is veka. Every renuzebi thing is gebapal. If something is kidafig, then it is niceluc. All things that are bubekan are also sudav. Every sisedugem thing is nogaz. All things that are bepege are also lacoricur. Anything that is gerisol is also rekamabef. It is given that Lakab is reri. Every nuki thing is kubolalik. Question: based on the above, is Pimat nogaz?","8"
"Every badir thing is nidekapa. Anything that is loda is also gukane. Nomut is toberes. Pimat is known to be konegaf. If something is gozipib, then it is vopi. Tumak is kabami. Every pecek thing is zumivo. Sovabuk is gota. Feroz is known to be nogaz. All things that are mukagepo are also rupotogil. Zeza is bopobet. It is given that Lacevep is kivepat. Rilidu is known to be nide. Cecikon is known to be pecek. Vudeta is known to be curosepuk. All things that are laco are also nutota. Anything that is tecolib is also niceluc. It is given that Reboro is nenalulik. All things that are fafa are also depipasu. All things that are gila are also kiriko. Question: is Cecikon zumivo?","1"
"Feroz is known to be pecek. Tumak is minozuna. Bare is known to be mukagepo. It is given that Dame is rosapokus. If something is lunim, then it is dicurifo. Sakanit is bagonusos. All things that are bikeze are also vabafi. If something is nuged, then it is kazufec. All things that are tilafas are also nece. Every zobibapa thing is toberes. If something is kazufec, then it is fukesot. Anything that is luzemekuz is also lunim. All things that are nece are also gota. Cinisa is known to be curosepuk. Every gebapal thing is mivicom. Rilidu is badir. If something is gota, then it is nuged. Nomut is known to be citubagep. If something is gerisol, then it is luzemekuz. Zano is known to be nide. All things that are kiriko are also bamodo. If something is fukesot, then it is gerisol. Every covid thing is tevatur. Every fiza thing is momacav. Zeza is tilafas. If something is pomisog, then it is fegigu. It is given that Pizu is lebepameb. Question: is Zeza dicurifo?","9"
"If something is niko, then it is tobefofe. Cosa is zobibapa. Every gaku thing is canaceg. All things that are curosepuk are also fapite. Anything that is gota is also mukagepo. Every rekamabef thing is bagonusos. Every laguzi thing is cedozazo. Every sobamaki thing is zikocu. All things that are nogaz are also tekut. It is given that Sovabuk is toku. If something is bimo, then it is kaci. If something is kaci, then it is sobamaki. If something is nutota, then it is toke. All things that are zikocu are also niko. Zeza is gerisol. Fape is depipasu. Every gozipib thing is bepege. If something is kebeviz, then it is konegaf. If something is nero, then it is lovopufa. Bovulac is zaku. All things that are vuvecifeb are also lebepameb. If something is tobefofe, then it is vuvecifeb. Every konegaf thing is nero. Lakab is known to be bimo. All things that are lebepameb are also kebeviz. It is given that Bucofis is pomisog. Tunuc is vabafi. Question: based on the above, is Lakab lovopufa?","11"
"It is given that Mucili is niceluc. Every bimo thing is secovo. It is given that Feroz is ruvid. Sovabuk is known to be macotep. All things that are madaga are also momacav. Kugipug is known to be toberes. All things that are mapanukob are also zikocu. Every bubekan thing is laco. It is given that Fape is mivebi. Anything that is zumivo is also tanebomi. Pimat is badir. If something is pavuro, then it is nogaz. It is given that Semuzo is nuki. All things that are nogaz are also dicurifo. Anything that is zaku is also kogut. Pizu is known to be tezod. Every dicurifo thing is nutota. All things that are tanebomi are also reri. All things that are zuridu are also gukane. All things that are nutota are also mapanukob. If something is zikocu, then it is kabami. It is given that Fisafut is cedozazo. All things that are vabafi are also lemul. Every kabami thing is zumivo. Every zudimaf thing is laguzi. Anything that is nuki is also pavuro. Question: is Semuzo reri?","10"
"All things that are dicurifo are also laguzi. If something is lacoricur, then it is fusazor. Every bubekan thing is curosepuk. It is given that Cosa is bimo. Every nogaz thing is covivi. All things that are toke are also laco. Anything that is covid is also kavakoded. Every surifecuk thing is ginunike. It is given that Lakab is dato. Anything that is fiza is also mosam. Anything that is madaga is also dicurifo. All things that are depipasu are also nogaz. All things that are nece are also rekamabef. It is given that Fisafut is tekut. Every laguzi thing is depipasu. If something is gevu, then it is pogim. It is given that Muri is madaga. It is given that Semuzo is pomisog. Bucofis is kaci. Zamim is mapanukob. Every bomot thing is pecek. Question: based on the above, is Muri covivi?","5"
"Every loburu thing is curosepuk. All things that are zumivo are also bamodo. All things that are gozipib are also kodilodo. It is given that Zamim is cumeso. Vugute is gaku. All things that are selakegu are also cetetoped. It is given that Lacevep is nenalulik. Every fiza thing is konegaf. All things that are cetetoped are also mukagepo. If something is secovo, then it is zivibudi. Vebo is known to be zaku. Pimat is known to be nide. Every tikuk thing is zumivo. Anything that is rupotogil is also rekamabef. Kufide is sobamaki. All things that are kogut are also selakegu. All things that are toberes are also bolobozi. Nomut is known to be segu. Reboro is known to be mapanukob. If something is bamodo, then it is reri. Pimorip is known to be citubagep. Kugipug is kogut. Every mukagepo thing is rupefatu. All things that are reri are also surifecuk. Anything that is rupefatu is also tikuk. Tofu is known to be tevatur. Question: is Kugipug surifecuk?","9"
"Every citubagep thing is dicurifo. All things that are kazufec are also lunim. Anything that is secovo is also veka. Every veka thing is nesitonur. Anything that is kiriko is also madaga. All things that are toke are also laco. Every nesitonur thing is vabafi. Anything that is tikuk is also gerisol. Every kivepat thing is siretuniv. Tobinot is known to be surifecuk. Mucili is known to be niko. If something is gevu, then it is kaci. Sovabuk is known to be luzemekuz. All things that are nuki are also fukesot. Fape is mapanukob. Bovulac is fusazor. Anything that is kaci is also zikocu. Sakanit is known to be bubekan. Anything that is madaga is also gevu. If something is bomot, then it is kiriko. If something is vabafi, then it is toke. All things that are zikocu are also secovo. Anything that is kavakoded is also rokudeg. If something is surifecuk, then it is bomot. All things that are pecek are also lebepameb. If something is loda, then it is rekamabef. Anything that is saretila is also bisar. It is given that Vugute is gebapal. Question: based on the above, is Tobinot laco?","12"
"Anything that is sudav is also rupotogil. Anything that is tutucozez is also niko. All things that are kebeviz are also sudav. Anything that is tekut is also mosur. Reboro is saretila. Anything that is selakegu is also lacoricur. All things that are loda are also covivi. Sakanit is known to be secovo. Anything that is lovopufa is also laguzi. Tunuc is momacav. Anything that is ligoca is also depipasu. It is given that Mucili is lunim. Anything that is pomisog is also cumeso. Pimorip is known to be nesitonur. Muri is known to be tecolib. It is given that Lakab is canaceg. Fape is bocadoguz. Anything that is zikocu is also kebeviz. All things that are vecumepo are also gota. Every madaga thing is nutota. Mipenet is known to be zikocu. All things that are rupotogil are also tutucozez. Cecikon is known to be siretuniv. If something is gaku, then it is macotep. Question: is Mipenet niko?","5"
"Bare is known to be bolobozi. It is given that Pimat is fukesot. All things that are citubagep are also gota. If something is niko, then it is mivebi. Every tilafas thing is cumeso. Anything that is tobefofe is also rupotogil. Pizu is gila. If something is nide, then it is capopi. Kugipug is vopi. Vudeta is lunim. Every midop thing is nogaz. All things that are pavuro are also fiza. If something is toku, then it is luzemekuz. Semuzo is known to be bimo. Anything that is sudav is also tezod. Bovulac is known to be rupefatu. Every nutota thing is toku. Zano is gebapal. It is given that Fape is zobibapa. If something is bifolo, then it is surifecuk. Anything that is gebapal is also nutota. If something is loda, then it is secovo. It is given that Kufide is toberes. Question: is Zano luzemekuz?","3"
"Bovulac is known to be kolole. All things that are degik are also tacafeb. All things that are nidekapa are also reri. If something is veka, then it is sisedugem. It is given that Kafasa is kidafig. If something is gebapal, then it is citubagep. Pimorip is ligoca. Anything that is macotep is also pecek. Kugipug is known to be ruvid. Fisafut is known to be laguzi. Anything that is fafa is also vecumepo. Semuzo is known to be sudav. Anything that is mivebi is also vuca. Kufide is known to be ficava. It is given that Reboro is saretila. Anything that is covivi is also macotep. It is given that Zamim is zulimano. All things that are lemul are also cetetoped. It is given that Lacevep is rupotogil. If something is reri, then it is covivi. Sovabuk is nidekapa. Question: is Sovabuk pecek?","4"
