"text","label"
"All things that are canaceg are also bamodo. It is given that Cecikon is laco. Every zapekam thing is marato. If something is macotep, then it is veka. It is given that Kugipug is canaceg. Pimorip is known to be zuridu. It is given that Vekup is selakegu. Question: based on the above, is Kugipug bamodo?","1"
"If something is bimo, then it is nuki. If something is lidu, then it is cetetoped. It is given that Tobinot is zapekam. If something is bopobet, then it is kabami. If something is gozipib, then it is lidu. Fisafut is bopobet. Cosa is known to be gevu. Every kabami thing is gozipib. All things that are bizako are also vabafi. Anything that is tacafeb is also talopi. All things that are cetetoped are also tacafeb. It is given that Vebo is veka. All things that are talopi are also tobefofe. If something is tezod, then it is tanebomi. Question: is Fisafut tobefofe?","7"
"Anything that is tacafeb is also ruvid. Reboro is known to be kiriko. All things that are gevu are also cumeso. Anything that is vikacesa is also macotep. All things that are bifolo are also saretila. Pimorip is gevu. It is given that Kugipug is lutap. Question: is Pimorip cumeso?","1"
"It is given that Kufide is fukesot. Reboro is known to be depipasu. Every fope thing is decukep. Vekup is known to be dezo. Pizu is nutota. Anything that is lacoricur is also mosur. Every dezo thing is nesitonur. Question: is Vekup nesitonur?","1"
"If something is rose, then it is segu. It is given that Pimat is bora. Vekup is kidafig. Nomut is known to be konegaf. Every konegaf thing is bagonusos. Every gupeloco thing is selakegu. Fisafut is mukagepo. Every bagonusos thing is rose. It is given that Kufide is mivebi. If something is dizemubun, then it is pakotu. All things that are toku are also volasopok. Question: is Nomut segu?","3"
"All things that are vabafi are also vecumepo. Anything that is depipasu is also nidekapa. Feroz is known to be tasubuso. All things that are mosam are also tuvacug. It is given that Tofu is sudav. If something is tuvacug, then it is tevatur. It is given that Rilidu is mosam. All things that are mosur are also kubolalik. It is given that Pizu is tacafeb. Vugute is known to be lebepameb. Question: based on the above, is Rilidu tevatur?","2"
"Tofu is known to be tuvacug. All things that are lovopufa are also rubi. Every cedozazo thing is lovopufa. Pimat is known to be misufanov. It is given that Lacevep is kamobefif. Every tutucozez thing is capopi. If something is dere, then it is niko. Anything that is kamobefif is also cedozazo. Vugute is lunim. All things that are saretila are also pude. Question: is Lacevep rubi?","3"
"Mipenet is known to be bamodo. Every vecumepo thing is fafa. Kugipug is known to be nesitonur. All things that are capopi are also selakegu. It is given that Lakab is bora. Every tilafas thing is bacopi. Anything that is ditoru is also putiri. Every lidu thing is mivicom. Vugute is binobogo. Anything that is bamodo is also capopi. Question: based on the above, is Mipenet selakegu?","2"
"Muri is known to be veka. Every madaga thing is tikuk. Tunuc is known to be kacad. If something is kufud, then it is vecumepo. Anything that is marato is also madaga. Zeza is kolole. All things that are veka are also marato. Every sobamaki thing is tanebomi. Question: is Muri tikuk?","3"
"Anything that is covid is also lebepameb. If something is kavakoded, then it is zikocu. It is given that Feroz is gozipib. Anything that is nogaz is also kogut. Bucofis is lemul. All things that are gozipib are also covid. Every lebepameb thing is vecumepo. Pimorip is tecolib. Anything that is vecumepo is also gupeloco. It is given that Cosa is bamodo. If something is zusisi, then it is covivi. Question: is Feroz gupeloco?","4"
"It is given that Reboro is lepituk. It is given that Mipenet is gebapal. If something is gaku, then it is nutota. It is given that Vugute is talopi. All things that are loda are also rupefatu. All things that are vuvecifeb are also fapite. If something is gebapal, then it is tanebomi. Cinisa is known to be kodilodo. Sovabuk is kazufec. All things that are tanebomi are also vaki. Every vaki thing is tekut. All things that are tekut are also vuvecifeb. Question: is Mipenet fapite?","5"
"Every decukep thing is kabami. All things that are bifolo are also covid. Pimorip is known to be decukep. Every tiki thing is nogaz. Muri is midop. Every saretila thing is tikuk. Bucofis is known to be gota. Question: is Pimorip kabami?","1"
"If something is kiriko, then it is cetetoped. Vudeta is known to be fope. Lakab is zozetonep. If something is ligoca, then it is tecolib. Anything that is fope is also nuged. It is given that Lacevep is sisedugem. If something is gebapal, then it is toke. Question: based on the above, is Vudeta nuged?","1"
"Kugipug is known to be fafa. All things that are binat are also tuvacug. It is given that Muri is binat. Anything that is tuvacug is also putiri. Feroz is known to be rose. All things that are lunim are also ginunike. All things that are nuged are also kufud. If something is putiri, then it is tanebomi. All things that are pomisog are also redasalo. Question: based on the above, is Muri tanebomi?","3"
"It is given that Reboro is nero. Anything that is nero is also ginunike. Tunuc is pomisog. If something is pecek, then it is niceluc. Anything that is bikeze is also canaceg. Bare is bagonusos. Question: based on the above, is Reboro ginunike?","1"
"Every fope thing is konegaf. Dame is known to be veka. Lakab is known to be vabafi. Every surifecuk thing is gerisol. It is given that Cecikon is tiki. It is given that Tunuc is laco. Anything that is tiki is also zapekam. Every kalozuc thing is fegigu. Anything that is kidafig is also sudav. Every zapekam thing is fope. If something is konegaf, then it is tobefofe. It is given that Zamim is talopi. Every tobefofe thing is zuridu. Anything that is pomisog is also marato. Question: based on the above, is Cecikon zuridu?","5"
"Fisafut is known to be nuki. All things that are ruvid are also loburu. Every kebeviz thing is ruvid. Every kogut thing is kebeviz. All things that are reri are also bomot. Anything that is tilafas is also canaceg. It is given that Kufide is tilafas. All things that are canaceg are also kogut. Bare is known to be nidekapa. All things that are kazufec are also bopobet. If something is sugezoti, then it is depipasu. Every loburu thing is kazufec. All things that are zaku are also pakotu. It is given that Zeza is zulimano. Question: based on the above, is Kufide bopobet?","7"
"All things that are bezuri are also mocanotin. Every gerisol thing is zusisi. Rilidu is rubi. Kafasa is known to be bizako. Lacevep is known to be tupur. All things that are zuridu are also zofop. Sakanit is known to be gerisol. Anything that is lutap is also citubagep. Question: based on the above, is Sakanit zusisi?","1"
"Kafasa is known to be kaci. All things that are rekamabef are also toberes. All things that are pomisog are also zudimaf. Anything that is tikuk is also segu. Reboro is known to be rekamabef. Anything that is toberes is also bifolo. Feroz is known to be citubagep. Question: based on the above, is Reboro bifolo?","2"
"Anything that is tevatur is also saretila. Every debi thing is gozipib. Bare is ficava. Kufide is known to be debi. Biced is known to be bocadoguz. Muri is kebeviz. Anything that is vonivaz is also mocanotin. Bovulac is dere. Anything that is capopi is also gaku. Question: based on the above, is Kufide gozipib?","1"
"Anything that is bezuri is also bisar. Every macotep thing is vikacesa. Tunuc is nuki. Vebo is known to be lovopufa. Every mosam thing is luzemekuz. Every kolole thing is bikeze. Lakab is bezuri. It is given that Gasa is veka. If something is degik, then it is midop. If something is bisar, then it is korer. Question: based on the above, is Lakab korer?","2"
"Anything that is reri is also sugezoti. Dame is known to be kalozuc. All things that are bora are also kamobefif. All things that are lebotil are also zobibapa. All things that are cedozazo are also reri. If something is korer, then it is kavakoded. Bare is minozuna. Vugute is known to be rosapokus. Nomut is cedozazo. Question: is Nomut sugezoti?","2"
"Muri is known to be kaci. If something is pecek, then it is badir. If something is rubi, then it is nide. If something is badir, then it is kiriko. Pimorip is known to be pecek. Every gukane thing is bifolo. Semuzo is known to be zaku. If something is nidekapa, then it is zobibapa. It is given that Pizu is pude. Question: is Pimorip kiriko?","2"
"It is given that Semuzo is bomot. It is given that Mucili is ficava. It is given that Bucofis is bocadoguz. Tobinot is tecolib. If something is reri, then it is bikeze. Anything that is segu is also nero. Anything that is mocanotin is also zaku. Bovulac is reri. Question: is Bovulac bikeze?","1"
"Every vuvecifeb thing is kubolalik. All things that are cetetoped are also vuvecifeb. It is given that Cecikon is bimo. Anything that is gorepeli is also cetetoped. Anything that is bepege is also vigub. Every kubolalik thing is zulimano. If something is misufanov, then it is gozipib. All things that are bamodo are also zidul. Every toke thing is siretuniv. Tobinot is known to be toku. It is given that Zano is curosepuk. All things that are ranadol are also sisedugem. Pizu is ruvid. If something is zulimano, then it is ranadol. All things that are gozipib are also gorepeli. It is given that Feroz is misufanov. Question: is Feroz sisedugem?","8"
"If something is ruvid, then it is volasopok. All things that are nide are also midop. It is given that Vudeta is mosam. Anything that is segu is also marato. All things that are gota are also kogut. It is given that Biced is nidekapa. Anything that is tupur is also bimo. It is given that Kafasa is gaku. All things that are nidekapa are also nide. Question: is Biced midop?","2"
"Tobinot is known to be kaci. Biced is selakegu. If something is kaci, then it is vikacesa. Muri is known to be capopi. All things that are mukagepo are also gila. Anything that is sudav is also nero. Anything that is kodilodo is also cetetoped. All things that are nutota are also ficava. Anything that is vikacesa is also dozodolem. Question: is Tobinot dozodolem?","2"
"Vudeta is sudav. Anything that is fafa is also kamobefif. Pimat is known to be konegaf. Every lepituk thing is vigub. All things that are vigub are also fapite. It is given that Tumak is lemul. All things that are kodilodo are also nutota. All things that are sisedugem are also curosepuk. Anything that is misufanov is also momacav. Pimorip is known to be misufanov. Anything that is renuzebi is also dere. Every momacav thing is lepituk. Question: based on the above, is Pimorip fapite?","4"
"If something is lebepameb, then it is gota. Nomut is known to be pozegapi. Every fapite thing is niko. Every veka thing is dato. Zamim is gerisol. Reboro is ligoca. All things that are degik are also bacopi. Zeza is gevu. All things that are gevu are also lebepameb. Question: is Zeza gota?","2"
"Every kavakoded thing is debi. Vekup is bifolo. All things that are ranadol are also gukane. It is given that Mucili is zumivo. All things that are lebepameb are also ligoca. It is given that Vugute is mocanotin. Tobinot is decukep. If something is mocanotin, then it is kavakoded. Kufide is sisedugem. Question: is Vugute debi?","2"
"Cosa is covid. If something is nuki, then it is vikacesa. If something is tobefofe, then it is sugezoti. Lakab is tobefofe. It is given that Kugipug is gorepeli. Every fezomi thing is redasalo. If something is sugezoti, then it is gerisol. Question: is Lakab gerisol?","2"
"Pimorip is vikacesa. Every vigub thing is gebapal. Tofu is tevatur. All things that are bikeze are also vigub. It is given that Tobinot is fukesot. Anything that is nenalulik is also dato. Anything that is ditoru is also zidul. Biced is bisar. If something is tevatur, then it is bikeze. Question: is Tofu gebapal?","3"
"Every kidafig thing is macotep. Tofu is known to be fukesot. It is given that Bare is kogut. All things that are tezod are also fope. Every tacafeb thing is zumivo. All things that are kodilodo are also zikocu. All things that are fope are also vopi. If something is vuca, then it is pecek. Every bolobozi thing is bifolo. Every ranadol thing is tezod. Lacevep is known to be kazufec. It is given that Lakab is bimo. It is given that Vekup is lunim. Anything that is curosepuk is also ranadol. All things that are fukesot are also covivi. Anything that is covivi is also curosepuk. If something is vopi, then it is kodilodo. Question: is Tofu zikocu?","8"
"All things that are midop are also binobogo. Tofu is known to be bopobet. It is given that Cosa is cetetoped. Every fapite thing is zofop. Lacevep is gorepeli. Every dicurifo thing is madaga. Every binobogo thing is zusisi. Anything that is mivicom is also dere. All things that are gorepeli are also midop. All things that are tanebomi are also lebotil. Question: based on the above, is Lacevep zusisi?","3"
"If something is vigub, then it is vopi. Zeza is degik. All things that are ligoca are also covivi. It is given that Bucofis is ligoca. It is given that Fape is nutota. Every covivi thing is ficava. Every ficava thing is marato. All things that are pakotu are also mivicom. All things that are zozetonep are also nidekapa. Question: based on the above, is Bucofis marato?","3"
"It is given that Semuzo is volasopok. All things that are cedozazo are also sugezoti. Nomut is known to be bolobozi. All things that are ditoru are also pozegapi. Every tevatur thing is gukane. It is given that Lakab is vaki. If something is kaci, then it is rose. Rilidu is bubekan. Anything that is lunim is also rupotogil. Anything that is vaki is also tevatur. Kafasa is vopi. All things that are gukane are also lunim. Question: based on the above, is Lakab rupotogil?","4"
"It is given that Muri is pakotu. If something is toke, then it is nenalulik. If something is vaki, then it is sobamaki. All things that are niko are also loda. Anything that is loda is also toke. It is given that Vugute is niko. Anything that is kebeviz is also konegaf. Gasa is vonivaz. Question: based on the above, is Vugute nenalulik?","3"
"Every kiriko thing is dezo. All things that are covid are also cedozazo. Tumak is covid. If something is loburu, then it is kivepat. Tobinot is known to be marato. Bovulac is bizako. All things that are siretuniv are also tikuk. If something is dezo, then it is siretuniv. All things that are cedozazo are also kiriko. If something is capopi, then it is mivebi. Question: based on the above, is Tumak tikuk?","5"
"If something is gaku, then it is pomisog. It is given that Bare is gukane. It is given that Vebo is dezo. All things that are vikacesa are also rosapokus. Zeza is known to be zusisi. Kufide is known to be rekamabef. Anything that is dozodolem is also kogut. Anything that is dezo is also kufud. Question: based on the above, is Vebo kufud?","1"
"If something is niko, then it is zaku. All things that are vopi are also pozegapi. It is given that Zeza is laco. Fisafut is known to be gota. Tofu is fiza. All things that are nero are also nenalulik. Bucofis is known to be niko. Question: based on the above, is Bucofis zaku?","1"
"Pimorip is known to be nero. Every midop thing is momacav. Bovulac is known to be fafa. If something is veka, then it is rose. Cecikon is binobogo. Tumak is siretuniv. If something is vuvecifeb, then it is rupefatu. All things that are fafa are also midop. Question: based on the above, is Bovulac momacav?","2"
"It is given that Cecikon is lacoricur. Every zulimano thing is zusisi. If something is nece, then it is pavuro. Tunuc is rokudeg. If something is rokudeg, then it is momacav. Every dicurifo thing is renuzebi. Kugipug is known to be marato. Anything that is pecek is also mocanotin. All things that are renuzebi are also tikuk. All things that are kiriko are also vaki. If something is momacav, then it is dicurifo. Question: is Tunuc tikuk?","4"
"Every gebapal thing is bisar. It is given that Sakanit is gebapal. Every korer thing is marato. Every kabami thing is vikacesa. Cecikon is rekamabef. Vugute is known to be misufanov. Cinisa is known to be gerisol. Every bezuri thing is gupeloco. Question: is Sakanit bisar?","1"
"All things that are nesitonur are also rose. Every kivepat thing is degik. Vugute is known to be bagonusos. Fape is dozodolem. If something is ditoru, then it is kabami. It is given that Kufide is lepituk. Anything that is rupefatu is also zikocu. Anything that is bagonusos is also sobamaki. All things that are sobamaki are also kivepat. Pimorip is bepege. If something is degik, then it is renuzebi. All things that are vabafi are also toku. Question: based on the above, is Vugute renuzebi?","4"
"All things that are lebotil are also vonivaz. All things that are nidekapa are also kubolalik. Every vonivaz thing is dicurifo. Every gupeloco thing is nidekapa. Every kubolalik thing is talopi. Anything that is ligoca is also siretuniv. Gasa is tasubuso. If something is tasubuso, then it is madaga. If something is momacav, then it is tupur. All things that are siretuniv are also kogut. Anything that is talopi is also ligoca. All things that are vabafi are also toke. Every gevu thing is lebotil. Vekup is zuridu. Every dicurifo thing is fope. If something is rosapokus, then it is gevu. Anything that is kacad is also rosapokus. All things that are kogut are also gerisol. Every madaga thing is kacad. Every tezod thing is zivibudi. It is given that Tunuc is bora. If something is fope, then it is gupeloco. Question: is Gasa gerisol?","16"
"If something is lemul, then it is depipasu. Anything that is kacad is also dato. It is given that Pimat is dicurifo. Kugipug is sobamaki. If something is binobogo, then it is sisedugem. All things that are bezuri are also zidul. Fisafut is kavakoded. All things that are zidul are also rupefatu. Every kufud thing is lebotil. Anything that is rekamabef is also degik. All things that are zivibudi are also cetetoped. It is given that Rilidu is pude. Anything that is debi is also curosepuk. If something is sisedugem, then it is zivibudi. Anything that is curosepuk is also bezuri. Anything that is cetetoped is also zaku. It is given that Tumak is binobogo. Every lebotil thing is gupeloco. Every dato thing is rekamabef. All things that are rupefatu are also kacad. All things that are zaku are also kufud. Anything that is rokudeg is also toberes. If something is ligoca, then it is talopi. All things that are gupeloco are also debi. Question: is Tumak degik?","16"
