"text","label"
"Anything that is dozodolem is also tecolib. Anything that is nutota is also niko. Vekup is known to be mapanukob. Every dicurifo thing is tupur. Every mivicom thing is sugezoti. Anything that is sugezoti is also fiza. All things that are zumivo are also dozodolem. Gasa is saretila. All things that are pomisog are also mivicom. All things that are fiza are also zumivo. It is given that Kufide is gaku. It is given that Tunuc is pomisog. All things that are tecolib are also rokudeg. Question: based on the above, is Tunuc rokudeg?","7"
"Every fapite thing is mapanukob. Every gerisol thing is korer. Every pecek thing is bomot. Zamim is known to be minozuna. If something is zivibudi, then it is nuged. Tumak is known to be gevu. It is given that Reboro is pecek. Anything that is korer is also fapite. If something is nide, then it is rekamabef. If something is mapanukob, then it is gupeloco. Anything that is zuridu is also nenalulik. Every lunim thing is gerisol. Every bomot thing is kazufec. Kugipug is known to be saretila. Anything that is kazufec is also lunim. Question: is Reboro gupeloco?","8"
"Every gozipib thing is segu. If something is saretila, then it is tupur. It is given that Reboro is tekut. Every kiriko thing is tanebomi. Bovulac is known to be konegaf. All things that are vuca are also zudimaf. Vekup is known to be bepege. All things that are bepege are also vuca. Bucofis is known to be selakegu. Question: based on the above, is Vekup zudimaf?","2"
"Zeza is known to be zumivo. All things that are nuged are also curosepuk. Every toku thing is saretila. Zano is known to be lacoricur. If something is vuvecifeb, then it is vecumepo. Fape is mivicom. Every ruvid thing is kabami. Vudeta is known to be vuvecifeb. Question: based on the above, is Vudeta vecumepo?","1"
"All things that are mivebi are also bimo. It is given that Bucofis is nero. Anything that is bagonusos is also bepege. If something is nutota, then it is rosapokus. Anything that is tilafas is also rupefatu. Vugute is known to be niko. If something is bopobet, then it is bagonusos. Anything that is kidafig is also tikuk. Kugipug is bolobozi. Kafasa is known to be bopobet. Vekup is covivi. Question: is Kafasa bepege?","2"
"Zamim is known to be tupur. Every nuki thing is zudimaf. Every selakegu thing is kogut. If something is surifecuk, then it is konegaf. Zano is known to be tevatur. Anything that is bisar is also surifecuk. All things that are pomisog are also nuki. It is given that Sakanit is renuzebi. Anything that is loda is also korer. If something is konegaf, then it is selakegu. All things that are kiriko are also kazufec. Anything that is cumeso is also fiza. All things that are zudimaf are also bisar. Cecikon is known to be minozuna. Anything that is renuzebi is also pomisog. Question: is Sakanit kogut?","8"
"Every bubekan thing is lemul. It is given that Zamim is tezod. Anything that is tezod is also sudav. If something is badir, then it is midop. If something is redasalo, then it is kogut. Bare is known to be loburu. All things that are sudav are also pomisog. It is given that Zeza is pecek. If something is pomisog, then it is redasalo. It is given that Kugipug is secovo. If something is mukagepo, then it is mapanukob. Anything that is toberes is also momacav. Question: based on the above, is Zamim kogut?","4"
"All things that are gukane are also lovopufa. It is given that Bucofis is zudimaf. Kugipug is fusazor. It is given that Mipenet is secovo. Cosa is nidekapa. If something is kodilodo, then it is bomot. All things that are fafa are also pomisog. Semuzo is laco. All things that are laco are also kodilodo. Every gila thing is rupotogil. Anything that is bolobozi is also gerisol. Question: is Semuzo bomot?","2"
"If something is rekamabef, then it is nesitonur. If something is mosur, then it is kiriko. Every gukane thing is rekamabef. Muri is mivicom. Every kaci thing is nide. Anything that is gevu is also kolole. Kafasa is known to be rosapokus. Semuzo is korer. It is given that Lakab is depipasu. Tofu is capopi. Anything that is capopi is also gukane. Question: is Tofu nesitonur?","3"
"Anything that is bagonusos is also lacoricur. Every tevatur thing is zuridu. Anything that is lacoricur is also nogaz. Anything that is tekut is also fusazor. Tofu is bepege. Anything that is pavuro is also niko. It is given that Bucofis is ligoca. Anything that is nogaz is also rosapokus. Anything that is zuridu is also citubagep. All things that are citubagep are also sisedugem. If something is sisedugem, then it is zudimaf. Anything that is zudimaf is also bagonusos. It is given that Mipenet is tevatur. Anything that is rupefatu is also laguzi. Anything that is rosapokus is also rupefatu. If something is laguzi, then it is siretuniv. Question: is Mipenet siretuniv?","11"
"Every tekut thing is cumeso. Anything that is bifolo is also tutucozez. All things that are tilafas are also bikeze. It is given that Kugipug is loda. All things that are niko are also tupur. If something is tupur, then it is cetetoped. If something is toberes, then it is kidafig. Anything that is gevu is also rokudeg. It is given that Fape is zumivo. If something is misufanov, then it is korer. Pimat is known to be midop. Every toke thing is zivibudi. Anything that is cetetoped is also gevu. All things that are zivibudi are also niko. If something is nuged, then it is bisar. Every loda thing is tekut. It is given that Zano is capopi. Every rokudeg thing is misufanov. Anything that is cumeso is also toke. Question: is Kugipug korer?","11"
"All things that are nogaz are also zobibapa. Muri is rupotogil. If something is tevatur, then it is kolole. Every kubolalik thing is ruvid. Anything that is ruvid is also vabafi. Every gupeloco thing is kubolalik. Zano is tupur. Every vabafi thing is siretuniv. If something is kolole, then it is gupeloco. Anything that is kabami is also laco. If something is bocadoguz, then it is kivepat. It is given that Kugipug is tevatur. Question: based on the above, is Kugipug siretuniv?","6"
"Every gota thing is fukesot. Anything that is loda is also tezod. Kufide is vopi. Every capopi thing is zulimano. Every gupeloco thing is gota. Muri is kiriko. Feroz is curosepuk. Anything that is sudav is also mivicom. It is given that Vekup is gupeloco. If something is kabami, then it is lemul. Question: is Vekup fukesot?","2"
"All things that are sisedugem are also rosapokus. If something is rosapokus, then it is lovopufa. Tunuc is known to be toku. If something is gila, then it is fafa. All things that are gukane are also bepege. Vugute is fukesot. If something is tecolib, then it is zudimaf. Anything that is toberes is also ficava. Anything that is lovopufa is also saretila. If something is saretila, then it is cumeso. Anything that is fegigu is also mosam. Anything that is mosam is also sisedugem. Anything that is cumeso is also gila. All things that are fafa are also toberes. If something is tikuk, then it is niceluc. Vudeta is fegigu. Question: is Vudeta ficava?","10"
"Pimorip is konegaf. All things that are tikuk are also nogaz. Every zikocu thing is ruvid. If something is gevu, then it is sudav. Rilidu is lebepameb. All things that are nero are also kabami. Mucili is known to be gevu. Question: based on the above, is Mucili sudav?","1"
"Semuzo is gupeloco. All things that are tecolib are also gukane. Every fukesot thing is sisedugem. All things that are dicurifo are also citubagep. Every pecek thing is vabafi. Anything that is bopobet is also lemul. Anything that is lemul is also konegaf. Anything that is cumeso is also fukesot. Anything that is fegigu is also zumivo. All things that are bomot are also bopobet. It is given that Vugute is cumeso. All things that are sisedugem are also dicurifo. It is given that Pizu is cedozazo. Every segu thing is ginunike. Every citubagep thing is bomot. Question: is Vugute konegaf?","8"
"Every toku thing is nuged. All things that are toberes are also nero. All things that are kolole are also tecolib. It is given that Mucili is saretila. All things that are nuged are also kolole. Zamim is known to be ligoca. Gasa is known to be bolobozi. It is given that Cecikon is toku. All things that are renuzebi are also laco. If something is nidekapa, then it is madaga. Anything that is fusazor is also kogut. Question: based on the above, is Cecikon tecolib?","3"
"It is given that Muri is luzemekuz. All things that are kivepat are also zikocu. Anything that is kiriko is also rosapokus. Every mapanukob thing is kivepat. Cinisa is cetetoped. All things that are mivicom are also nuki. If something is rosapokus, then it is bubekan. Sovabuk is known to be zumivo. Every bubekan thing is bocadoguz. Anything that is fapite is also toku. Pizu is known to be mapanukob. Every zikocu thing is kiriko. Question: is Pizu bocadoguz?","6"
