"text","label"
"Anything that is lunim is also bopobet. If something is toke, then it is lunim. All things that are curosepuk are also momacav. All things that are bopobet are also fukesot. Every kaci thing is toke. Kafasa is cumeso. Every saretila thing is fusazor. Every lovopufa thing is tilafas. All things that are fukesot are also saretila. If something is cumeso, then it is kaci. If something is momacav, then it is lovopufa. All things that are fusazor are also curosepuk. Question: is Kafasa tilafas?","11"
"Anything that is saretila is also nuki. Fape is mosur. Anything that is vecumepo is also zumivo. If something is nenalulik, then it is capopi. If something is kazufec, then it is saretila. Every mosur thing is kazufec. Fisafut is nide. Anything that is kiriko is also vecumepo. All things that are nuki are also kiriko. All things that are zumivo are also fiza. Question: is Fape fiza?","7"
"Pizu is kavakoded. Every tekut thing is tikuk. Every tikuk thing is bocadoguz. Every kavakoded thing is tekut. Question: is Pizu bocadoguz?","3"
"If something is bikeze, then it is fusazor. Anything that is kavakoded is also nece. Bovulac is known to be konegaf. Every degik thing is bikeze. Every mukagepo thing is rupefatu. All things that are zobibapa are also zikocu. Every nece thing is degik. All things that are konegaf are also zobibapa. Anything that is fusazor is also gota. Every zikocu thing is kavakoded. Tofu is midop. Question: based on the above, is Bovulac gota?","8"
"If something is secovo, then it is bolobozi. It is given that Muri is zikocu. Every minozuna thing is tekut. All things that are sudav are also mosam. Anything that is badir is also tobefofe. If something is pomisog, then it is badir. All things that are mosam are also secovo. If something is tobefofe, then it is tezod. If something is tekut, then it is sudav. All things that are covivi are also gerisol. All things that are tezod are also minozuna. All things that are zikocu are also pomisog. Question: based on the above, is Muri bolobozi?","10"
"If something is konegaf, then it is gaku. It is given that Fape is konegaf. Anything that is nide is also tutucozez. All things that are gaku are also selakegu. Every gukane thing is covid. If something is rekamabef, then it is zivibudi. Anything that is covid is also rekamabef. Bovulac is known to be nuki. Every tutucozez thing is gukane. Every selakegu thing is nide. Question: is Fape zivibudi?","8"
"Anything that is pogim is also vuvecifeb. Every pomisog thing is pogim. It is given that Nomut is pomisog. Question: based on the above, is Nomut vuvecifeb?","2"
"Every fapite thing is rosapokus. If something is tevatur, then it is curosepuk. Anything that is curosepuk is also pavuro. If something is kiriko, then it is tevatur. If something is bocadoguz, then it is nero. Every rosapokus thing is sugezoti. Every covivi thing is kiriko. Feroz is known to be bocadoguz. Anything that is sugezoti is also kubolalik. Every bisar thing is fapite. All things that are pavuro are also bisar. If something is nero, then it is covivi. All things that are nece are also kabami. Question: is Feroz kubolalik?","11"
"All things that are tobefofe are also nuki. All things that are minozuna are also bikeze. Every lunim thing is bepege. All things that are bepege are also niceluc. Muri is known to be lunim. If something is laguzi, then it is tobefofe. Every nuki thing is minozuna. If something is kolole, then it is laguzi. If something is niceluc, then it is kolole. All things that are kidafig are also siretuniv. Question: is Muri bikeze?","8"
"If something is pomisog, then it is kabami. Bare is pomisog. All things that are citubagep are also toberes. All things that are kabami are also citubagep. Question: is Bare toberes?","3"
"Every rekamabef thing is konegaf. All things that are segu are also vuvecifeb. Every zuridu thing is segu. If something is niceluc, then it is kolole. All things that are kolole are also rekamabef. Every momacav thing is niceluc. Nomut is mosur. Every sobamaki thing is fiza. Every madaga thing is tutucozez. If something is mosur, then it is dozodolem. Every fiza thing is momacav. If something is dozodolem, then it is zuridu. All things that are vuvecifeb are also sobamaki. Question: is Nomut konegaf?","11"
"Every bisar thing is rosapokus. All things that are nogaz are also ruvid. Anything that is mapanukob is also minozuna. Every minozuna thing is kolole. It is given that Vudeta is kaci. Every covivi thing is mapanukob. Anything that is fegigu is also covivi. Every kolole thing is mivicom. All things that are mivicom are also bisar. Anything that is kaci is also fegigu. Question: based on the above, is Vudeta rosapokus?","8"
"Anything that is kolole is also pomisog. Anything that is fiza is also zudimaf. All things that are pomisog are also fiza. Every kogut thing is kolole. All things that are zudimaf are also mivicom. Tofu is kogut. Question: is Tofu mivicom?","5"
"All things that are cetetoped are also tekut. Every tekut thing is gila. All things that are covid are also zumivo. All things that are mosam are also ruvid. If something is ruvid, then it is bocadoguz. If something is bocadoguz, then it is gaku. All things that are gila are also kavakoded. Anything that is canaceg is also rupefatu. If something is rupefatu, then it is cetetoped. Anything that is kiriko is also mosam. Pimat is kiriko. All things that are gaku are also canaceg. Every kavakoded thing is covid. Question: is Pimat zumivo?","12"
"Bare is known to be secovo. Anything that is secovo is also nidekapa. Every fapite thing is rosapokus. Question: based on the above, is Bare nidekapa?","1"
"All things that are mivebi are also mosur. All things that are zikocu are also vuca. Every vuca thing is mivebi. Tumak is known to be zikocu. Anything that is lacoricur is also fegigu. Question: is Tumak mosur?","3"
"If something is nero, then it is degik. If something is fapite, then it is secovo. Anything that is badir is also bepege. All things that are bepege are also tutucozez. It is given that Feroz is nero. All things that are degik are also badir. Question: based on the above, is Feroz tutucozez?","4"
"All things that are pogim are also tilafas. Anything that is nuki is also loda. Every secovo thing is rosapokus. It is given that Tobinot is kavakoded. Every tobefofe thing is nuki. If something is loda, then it is secovo. Every rosapokus thing is ficava. All things that are tezod are also surifecuk. Anything that is ficava is also toberes. If something is curosepuk, then it is bagonusos. Anything that is kavakoded is also pogim. If something is tilafas, then it is curosepuk. All things that are bagonusos are also tobefofe. Question: is Tobinot toberes?","11"
"Every rupefatu thing is sudav. If something is sudav, then it is vabafi. Every surifecuk thing is rupefatu. It is given that Cecikon is siretuniv. Tobinot is known to be surifecuk. Question: based on the above, is Tobinot vabafi?","3"
"All things that are fegigu are also laguzi. Every capopi thing is zivibudi. Anything that is vabafi is also madaga. All things that are laguzi are also vabafi. Cosa is niko. Tunuc is kabami. Anything that is rupefatu is also gozipib. Every kidafig thing is tupur. All things that are niko are also fegigu. Every dozodolem thing is kidafig. If something is madaga, then it is capopi. Every zivibudi thing is mivebi. If something is mivebi, then it is dozodolem. Question: based on the above, is Cosa tupur?","10"
"Vebo is known to be lunim. If something is lunim, then it is konegaf. Anything that is konegaf is also tekut. Sovabuk is pavuro. Question: is Vebo tekut?","2"
"Every vabafi thing is niceluc. If something is kaci, then it is mosur. It is given that Pimat is vabafi. Every niceluc thing is kaci. All things that are mosur are also tacafeb. All things that are tacafeb are also niko. Question: based on the above, is Pimat niko?","5"
"Every renuzebi thing is kaci. All things that are bifolo are also fusazor. If something is kaci, then it is bifolo. Sovabuk is known to be renuzebi. Every fusazor thing is gaku. If something is momacav, then it is badir. Question: is Sovabuk gaku?","4"
"Anything that is sisedugem is also nesitonur. Every mivebi thing is pogim. All things that are segu are also tekut. Every zudimaf thing is mivebi. Anything that is pogim is also sisedugem. All things that are tekut are also nuged. All things that are kaci are also zudimaf. Every nuged thing is kaci. Cecikon is segu. Anything that is nesitonur is also kubolalik. Question: is Cecikon kubolalik?","9"
"Every gila thing is zudimaf. Lacevep is gila. If something is zudimaf, then it is gaku. Question: based on the above, is Lacevep gaku?","2"
"Every nutota thing is bifolo. All things that are bifolo are also bikeze. Anything that is zumivo is also nutota. It is given that Vekup is zumivo. Lacevep is covid. If something is bikeze, then it is bopobet. Question: is Vekup bopobet?","4"
"All things that are bagonusos are also gupeloco. If something is cedozazo, then it is bikeze. All things that are gupeloco are also zudimaf. If something is fegigu, then it is pecek. It is given that Zeza is macotep. All things that are vuca are also cedozazo. If something is pecek, then it is kiriko. Tumak is known to be vuca. All things that are kiriko are also niko. Anything that is secovo is also bagonusos. Anything that is bikeze is also toku. If something is zudimaf, then it is fegigu. All things that are konegaf are also zuridu. If something is toku, then it is secovo. Question: is Tumak niko?","11"
"All things that are gerisol are also cedozazo. All things that are cedozazo are also lovopufa. It is given that Bare is gerisol. Anything that is lovopufa is also ficava. All things that are laguzi are also cumeso. Anything that is nidekapa is also niceluc. Every ficava thing is nidekapa. Anything that is niceluc is also laguzi. Question: is Bare cumeso?","7"
"All things that are toberes are also fapite. Every gukane thing is fusazor. All things that are fusazor are also zivibudi. Every zivibudi thing is toberes. Anything that is laguzi is also niko. If something is niko, then it is madaga. Anything that is fapite is also laguzi. Bare is known to be gukane. It is given that Bucofis is surifecuk. Question: based on the above, is Bare madaga?","7"
"Anything that is tezod is also cumeso. Every tanebomi thing is gota. If something is nuged, then it is tezod. All things that are mivicom are also tanebomi. Anything that is nero is also veka. All things that are cumeso are also bimo. Anything that is niceluc is also nuged. Every gota thing is pogim. Every zuridu thing is bepege. If something is veka, then it is zuridu. Anything that is bimo is also nero. Gasa is known to be mivicom. Anything that is pogim is also niceluc. Question: based on the above, is Gasa bepege?","12"
"Anything that is kolole is also laco. Every rosapokus thing is gila. Anything that is lacoricur is also kolole. Anything that is pavuro is also fukesot. Anything that is bocadoguz is also pavuro. Anything that is laco is also selakegu. If something is minozuna, then it is lacoricur. It is given that Cosa is gaku. If something is gila, then it is vecumepo. All things that are vecumepo are also bocadoguz. If something is fukesot, then it is minozuna. Fisafut is known to be rosapokus. Question: based on the above, is Fisafut selakegu?","10"
"Every ginunike thing is bifolo. Anything that is bifolo is also canaceg. Anything that is toberes is also redasalo. If something is saretila, then it is toberes. All things that are canaceg are also saretila. Mucili is known to be ginunike. Question: is Mucili redasalo?","5"
"Anything that is lemul is also kogut. All things that are bomot are also lemul. If something is sisedugem, then it is bimo. All things that are fegigu are also gukane. All things that are dicurifo are also nece. If something is minozuna, then it is sisedugem. Every bimo thing is dicurifo. Biced is known to be tanebomi. All things that are nece are also bomot. All things that are kogut are also fegigu. All things that are tanebomi are also minozuna. Question: based on the above, is Biced gukane?","10"
"Every dato thing is covivi. If something is sisedugem, then it is surifecuk. Every bagonusos thing is tecolib. Every tevatur thing is sisedugem. Anything that is covivi is also bagonusos. If something is secovo, then it is fapite. Muri is known to be tevatur. Anything that is tecolib is also secovo. If something is surifecuk, then it is dato. Question: is Muri fapite?","8"
"All things that are dozodolem are also nutota. All things that are nutota are also segu. Vekup is toku. Every toke thing is dozodolem. If something is toku, then it is toke. It is given that Pizu is zudimaf. Question: is Vekup segu?","4"
"All things that are dato are also tikuk. Every zudimaf thing is bolobozi. All things that are vopi are also dato. Anything that is capopi is also sobamaki. All things that are tikuk are also zaku. Anything that is zumivo is also nuged. Every bolobozi thing is pogim. If something is zaku, then it is zudimaf. If something is sobamaki, then it is rokudeg. Anything that is rokudeg is also vopi. Pimorip is capopi. Question: is Pimorip pogim?","9"
"All things that are canaceg are also gila. Every nidekapa thing is kabami. Anything that is pavuro is also zulimano. Dame is known to be cumeso. Every vopi thing is pavuro. All things that are gila are also gaku. Every macotep thing is canaceg. Anything that is zulimano is also nidekapa. It is given that Sovabuk is vopi. Anything that is zaku is also kivepat. All things that are gaku are also segu. All things that are kabami are also macotep. Question: based on the above, is Sovabuk segu?","9"
"If something is ruvid, then it is vecumepo. Every covivi thing is toku. Every gila thing is fegigu. All things that are mukagepo are also laco. Anything that is selakegu is also covid. Every zudimaf thing is mukagepo. Feroz is surifecuk. All things that are rekamabef are also covivi. Anything that is toku is also selakegu. All things that are laco are also ruvid. Every kebeviz thing is zudimaf. Every vecumepo thing is rekamabef. It is given that Dame is kebeviz. Question: based on the above, is Dame covid?","10"
"It is given that Bovulac is madaga. It is given that Biced is pecek. All things that are tilafas are also lemul. Anything that is pecek is also dozodolem. Question: based on the above, is Biced dozodolem?","1"
"All things that are nutota are also tilafas. If something is bopobet, then it is gila. Anything that is laguzi is also bopobet. All things that are tilafas are also laguzi. All things that are gila are also rupefatu. It is given that Lakab is zivibudi. All things that are niko are also bifolo. Cosa is known to be nutota. Question: is Cosa rupefatu?","5"
"Cecikon is known to be surifecuk. Every badir thing is nenalulik. Anything that is laguzi is also badir. If something is nenalulik, then it is tevatur. It is given that Lakab is tacafeb. Anything that is surifecuk is also laguzi. Question: is Cecikon tevatur?","4"
"Fape is known to be rekamabef. If something is korer, then it is tezod. Every gota thing is nenalulik. All things that are sisedugem are also niko. If something is nenalulik, then it is curosepuk. Anything that is saretila is also zaku. Anything that is curosepuk is also sisedugem. If something is tezod, then it is gota. Tumak is known to be sugezoti. Anything that is rekamabef is also korer. Question: based on the above, is Fape niko?","7"
"Every surifecuk thing is mivicom. Vugute is surifecuk. Every tupur thing is rokudeg. Every mivicom thing is tupur. Question: is Vugute rokudeg?","3"
"If something is rupotogil, then it is tobefofe. All things that are ficava are also bifolo. If something is tobefofe, then it is fiza. All things that are bamodo are also dato. All things that are fiza are also kogut. If something is ginunike, then it is rupotogil. Tunuc is bamodo. If something is nece, then it is tevatur. If something is dato, then it is nece. All things that are tevatur are also ginunike. It is given that Zamim is zikocu. If something is kogut, then it is ficava. Question: is Tunuc bifolo?","10"
"All things that are reri are also bikeze. If something is zumivo, then it is gupeloco. Anything that is ruvid is also cetetoped. If something is cetetoped, then it is reri. All things that are nero are also vabafi. If something is zudimaf, then it is ruvid. Every kidafig thing is zudimaf. If something is ficava, then it is kidafig. It is given that Vebo is zumivo. Every gupeloco thing is ficava. If something is bikeze, then it is nero. Bovulac is bomot. Question: based on the above, is Vebo vabafi?","10"
"Every luzemekuz thing is reri. Every tanebomi thing is bimo. All things that are pecek are also tacafeb. Every tacafeb thing is nide. It is given that Zamim is bocadoguz. If something is reri, then it is pecek. Anything that is bolobozi is also luzemekuz. Anything that is zobibapa is also macotep. Every tutucozez thing is tanebomi. If something is bocadoguz, then it is nidekapa. Anything that is nide is also tutucozez. If something is nidekapa, then it is bolobozi. Question: is Zamim bimo?","10"
"If something is kogut, then it is midop. All things that are redasalo are also mosur. Anything that is kivepat is also gebapal. It is given that Pimat is rokudeg. All things that are rokudeg are also gevu. All things that are midop are also kivepat. All things that are gevu are also kogut. Anything that is gebapal is also kubolalik. Question: is Pimat kubolalik?","6"
"Anything that is loda is also bopobet. All things that are selakegu are also nutota. If something is bopobet, then it is selakegu. Every nutota thing is tilafas. All things that are misufanov are also momacav. It is given that Fape is zudimaf. Kafasa is known to be loda. Anything that is tilafas is also misufanov. Question: is Kafasa momacav?","6"
